Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
S Lamichhane,2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-
CK Langeveldt,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-
B Laughlin,2018-2018,1,-,-,-,-,-,-,-,-,-,-,-,-
JB Little,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-
GD McGrath,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-
VY Mahesh,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-
AL Menaria,2012-2012,1,-,-,-,-,-,-,-,-,-,-,-,-
Mustafizur Rahman,2016-2023,3,-,-,-,-,-,-,-,-,-,-,-,-
DP Nannes,2010-2011,2,-,-,-,-,-,-,-,-,-,-,-,-
T Natarajan,2017-2024,2,-,-,-,-,-,-,-,-,-,-,-,-
Naveen-ul-Haq,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-
V Nigam,2025-2025,1,-,-,-,-,-,-,-,-,-,-,-,-
K Nitish Kumar Reddy,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-
PP Ojha,2008-2010,2,-,-,-,-,-,-,-,-,-,-,-,-
Parvez Rasool,2016-2016,3,-,-,-,-,-,-,-,-,-,-,-,-
M Pathirana,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-
SM Pollock,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-
M Prasidh Krishna,2019-2025,2,-,-,-,-,-,-,-,-,-,-,-,-
V Pratap Singh,2012-2012,1,-,-,-,-,-,-,-,-,-,-,-,-
K Rabada,2019-2024,2,-,-,-,-,-,-,-,-,-,-,-,-
A Raghuvanshi,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-
Ramandeep Singh,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-
KW Richardson,2014-2014,1,-,-,-,-,-,-,-,-,-,-,-,-
AS Roy,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-
R Sai Kishore,2025-2025,1,-,-,-,-,-,-,-,-,-,-,-,-
D Salunkhe,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-
GS Sandhu,2015-2015,1,-,-,-,-,-,-,-,-,-,-,-,-
T Shamsi,2016-2016,1,-,-,-,-,-,-,-,-,-,-,-,-
AR Sharma,2025-2025,1,-,-,-,-,-,-,-,-,-,-,-,-
H Sharma,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-
R Sharma,2011-2012,2,-,-,-,-,-,-,-,-,-,-,-,-
R Shepherd,2025-2025,1,-,-,-,-,-,-,-,-,-,-,-,-
Shivam Mavi,2018-2018,1,-,-,-,-,-,-,-,-,-,-,-,-
M Siddharth,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-
Simarjeet Singh,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-
NB Singh,2017-2017,1,-,-,-,-,-,-,-,-,-,-,-,-
VRV Singh,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-
A Singh,2012-2012,1,-,-,-,-,-,-,-,-,-,-,-,-
Sohail Tanvir,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-
BB Sran,2016-2016,1,-,-,-,-,-,-,-,-,-,-,-,-
B Stanlake,2017-2017,1,-,-,-,-,-,-,-,-,-,-,-,-
Suyash Sharma,2023-2025,4,-,-,-,-,-,-,-,-,-,-,-,-
JE Taylor,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-
Yash Thakur,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-
M Theekshana,2023-2024,2,-,-,-,-,-,-,-,-,-,-,-,-
AC Thomas,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-
O Thomas,2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-
S Tyagi,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,-
CV Varun,2023-2024,2,-,-,-,-,-,-,-,-,-,-,-,-
DP Vijaykumar,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-
J Yadav,2015-2015,1,-,-,-,-,-,-,-,-,-,-,-,-
MP Yadav,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-
A Zampa,2016-2016,1,-,-,-,-,-,-,-,-,-,-,-,-
Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
Shubman Gill,2021-2025,22,22,3,1033,129,54.36,647,159.65,3,4,0,90,41
B Sai Sudharsan,2023-2025,16,16,1,858,103,57.2,547,156.85,1,6,0,77,35
JC Buttler,2022-2025,7,7,2,371,106*,74.2,236,157.2,1,2,1,40,13
AM Rahane,2014-2024,9,9,1,336,76*,42,253,132.8,0,3,1,31,9
DA Miller,2015-2024,15,13,6,308,54,44,198,155.55,0,1,1,20,16
WP Saha,2010-2024,17,17,1,290,81,18.12,222,130.63,0,2,2,37,9
SV Samson,2014-2025,13,12,1,276,60,25.09,207,133.33,0,1,0,20,15
HH Pandya,2022-2025,11,11,3,246,59*,30.75,194,126.8,0,1,0,20,9
V Kohli,2015-2024,6,6,2,219,70*,54.75,167,131.13,0,2,0,15,9
SO Hetmyer,2021-2025,8,8,5,216,56*,72,117,184.61,0,3,0,14,15
KK Nair,2014-2025,9,8,1,196,48,28,128,153.12,0,0,0,16,9
SR Watson,2014-2015,6,6,0,191,73,31.83,140,136.42,0,1,0,19,9
SPD Smith,2014-2021,10,8,1,169,79*,24.14,151,111.92,0,1,1,12,1
MA Agarwal,2014-2024,4,4,1,163,99*,54.33,119,136.97,0,1,0,14,6
NV Ojha,2010-2014,5,5,0,162,80,32.4,117,138.46,0,1,0,17,7
KL Rahul,2014-2025,4,4,1,156,91*,52,109,143.11,0,1,0,15,7
S Dhawan,2014-2024,5,5,1,155,69*,38.75,123,126.01,0,1,0,18,3
SS Iyer,2024-2025,2,2,2,155,97*,-,66,234.84,0,2,0,10,13
R Tewatia,2014-2025,22,12,6,155,24*,25.83,85,182.35,0,0,1,10,13
RM Patidar,2021-2024,5,4,0,154,58,38.5,116,132.75,0,1,0,8,8
RG Sharma,2010-2025,7,7,0,150,49,21.42,107,140.18,0,0,1,15,8
PP Shaw,2021-2024,4,4,0,149,82,37.25,87,171.26,0,1,0,18,6
V Shankar,2023-2024,10,7,3,143,63*,35.75,96,148.95,0,1,0,10,7
SA Yadav,2014-2025,4,4,1,141,61,47,95,148.42,0,1,0,11,7
AB de Villiers,2010-2021,4,4,2,140,75*,70,109,128.44,0,1,0,9,5
VR Iyer,2023-2024,2,2,1,134,83,134,68,197.05,0,2,0,13,9
M Shahrukh Khan,2021-2025,10,9,1,128,58,16,84,152.38,0,1,2,7,10
H Klaasen,2023-2024,3,3,0,120,64,40,78,153.84,0,1,0,8,6
RD Gaikwad,2023-2024,3,3,0,118,92,39.33,69,171.01,0,1,1,7,10
A Manohar,2023-2024,6,5,0,117,42,23.4,89,131.46,0,0,0,7,7
RA Tripathi,2021-2024,4,4,0,116,55,29,86,134.88,0,1,0,16,1
SE Rutherford,2025-2025,4,4,0,114,46,28.5,76,150,0,0,0,5,9
AA Jhunjhunwala,2010-2010,4,3,1,109,53*,54.5,87,125.28,0,1,0,12,1
NT Tilak Varma,2023-2025,4,4,0,109,43,27.25,72,151.38,0,0,0,9,5
Shashank Singh,2024-2025,2,2,2,105,61*,-,45,233.33,0,1,0,12,6
RR Pant,2021-2024,4,4,2,104,58*,52,78,133.33,0,1,0,10,3
WG Jacks,2024-2024,1,1,1,100,100*,-,41,243.9,1,0,0,5,10
YK Pathan,2010-2014,5,5,1,96,73*,24,60,160,0,1,2,5,8
YBK Jaiswal,2022-2025,5,5,0,95,45,19,73,130.13,0,0,0,11,4
MS Dhoni,2010-2024,5,5,3,92,31*,46,75,122.66,0,0,1,8,4
C Green,2023-2024,4,3,0,90,33,30,67,134.32,0,0,0,4,6
KA Pollard,2014-2015,2,2,1,84,70,84,46,182.6,0,1,0,7,6
R Parag,2022-2025,5,4,0,82,36,20.5,62,132.25,0,0,0,4,5
MM Ali,2023-2024,3,2,0,79,56,39.5,53,149.05,0,1,0,8,5
CH Gayle,2015-2021,4,4,0,79,46,19.75,51,154.9,0,0,1,10,4
AR Patel,2015-2025,7,3,1,78,39,39,69,113.04,0,0,0,4,3
BJ Hodge,2010-2014,2,2,0,76,40,38,64,118.75,0,0,0,3,3
V Sehwag,2010-2015,2,2,0,76,75,38,38,200,0,1,0,8,5
MJ Lumb,2010-2010,3,3,0,75,45,25,49,153.06,0,0,1,10,2
Rashid Khan,2022-2025,20,11,5,74,31,12.33,47,157.44,0,0,2,5,4
S Dube,2023-2024,3,3,1,72,32*,36,52,138.46,0,0,0,2,4
MK Tiwary,2010-2014,2,2,1,72,61*,72,57,126.31,0,1,0,7,2
Q de Kock,2023-2023,1,1,0,70,70,70,41,170.73,0,1,0,7,3
JP Faulkner,2014-2015,8,7,4,70,31*,23.33,50,140,0,0,0,1,5
KD Karthik,2010-2024,8,6,2,69,23*,17.25,70,98.57,0,0,0,6,1
AR Sharma,2024-2025,2,2,0,68,37,34,36,188.88,0,0,0,5,4
F du Plessis,2015-2024,4,4,0,67,25,16.75,56,119.64,0,0,0,6,4
SE Marsh,2015-2015,1,1,0,65,65,65,40,162.5,0,1,0,5,3
RV Uthappa,2014-2014,1,1,0,65,65,65,52,125,0,1,0,5,3
G Gambhir,2010-2014,2,2,0,63,54,31.5,42,150,0,1,0,7,1
DJ Mitchell,2024-2024,1,1,0,63,63,63,34,185.29,0,1,0,7,3
M Vijay,2010-2015,2,2,0,63,42,31.5,46,136.95,0,0,0,4,4
DJ Bravo,2015-2015,1,1,1,62,62*,-,36,172.22,0,1,0,8,1
LMP Simmons,2014-2014,1,1,0,62,62,62,51,121.56,0,1,0,6,2
D Padikkal,2021-2023,5,5,0,61,26,12.2,67,91.04,0,0,0,5,3
N Rana,2021-2025,4,4,0,61,45,15.25,45,135.55,0,0,1,5,4
Prabhsimran Singh,2021-2025,4,4,0,59,35,14.75,55,107.27,0,0,0,7,2
STR Binny,2014-2015,8,6,1,57,20,11.4,64,89.06,0,0,1,3,2
AD Russell,2014-2024,5,4,1,57,45*,19,41,139.02,0,0,0,4,4
AC Voges,2010-2010,3,2,1,57,37*,57,41,139.02,0,0,0,3,2
FY Fazal,2010-2010,3,3,1,56,31,28,52,107.69,0,0,0,8,0
MEK Hussey,2014-2014,1,1,0,56,56,56,39,143.58,0,1,0,3,2
MP Stoinis,2021-2025,5,4,1,52,22,17.33,44,118.18,0,0,0,5,2
Aman Hakim Khan,2023-2023,1,1,0,51,51,51,44,115.9,0,1,0,3,3
DJ Hooda,2015-2023,8,7,0,51,19,7.28,41,124.39,0,0,0,1,4
CJ Anderson,2015-2015,1,1,0,50,50,50,38,131.57,0,1,0,5,3
GJ Maxwell,2015-2025,7,6,0,50,25,8.33,42,119.04,0,0,3,2,4
Abdul Samad,2023-2024,3,3,0,49,29,16.33,29,168.96,0,0,0,4,3
DP Conway,2023-2023,2,2,0,48,47,24,31,154.83,0,0,0,4,2
KR Mayers,2023-2023,1,1,0,48,48,48,32,150,0,0,0,7,2
RK Singh,2023-2024,2,1,1,48,48*,-,21,228.57,0,0,0,1,6
P Arya,2025-2025,1,1,0,47,47,47,23,204.34,0,0,0,7,2
EJG Morgan,2021-2021,2,2,1,47,47*,47,42,111.9,0,0,1,4,2
D Brevis,2024-2024,1,1,0,46,46,46,38,121.05,0,0,0,2,3
N Wadhera,2023-2023,2,2,0,44,40,22,24,183.33,0,0,0,4,3
PJ Cummins,2021-2024,4,3,2,43,30,43,39,110.25,0,0,0,3,2
Shahbaz Ahmed,2021-2024,4,4,1,42,22,14,40,105,0,0,1,3,2
MK Lomror,2022-2024,2,2,0,40,32,20,27,148.14,0,0,0,2,2
DR Smith,2015-2015,1,1,0,40,40,40,29,137.93,0,0,0,3,2
Naman Dhir,2024-2025,2,2,1,38,20,38,21,180.95,0,0,0,6,1
Rahmanullah Gurbaz,2023-2024,2,2,0,38,23,19,26,146.15,0,0,0,3,3
Abhishek Sharma,2023-2024,3,3,0,37,29,12.33,29,127.58,0,0,0,3,2
KK Cooper,2014-2014,2,2,0,37,32,18.5,24,154.16,0,0,0,2,3
P Dogra,2010-2010,4,3,0,34,29,11.33,30,113.33,0,0,1,2,2
RA Jadeja,2015-2024,4,3,1,34,18,17,18,188.88,0,0,0,3,2
CJ Jordan,2021-2023,4,3,0,34,30,11.33,26,130.76,0,0,0,1,3
Abishek Porel,2024-2025,2,2,0,33,18,16.5,16,206.25,0,0,0,5,2
Azmatullah Omarzai,2024-2025,5,2,0,33,17,16.5,26,126.92,0,0,0,3,2
SC Ganguly,2010-2010,1,1,0,33,33,33,29,113.79,0,0,0,3,0
HV Patel,2015-2024,5,2,0,32,31,16,15,213.33,0,0,0,3,2
DC Jurel,2023-2025,3,3,0,31,18,10.33,22,140.9,0,0,0,4,1
AT Rayudu,2014-2023,3,2,0,31,19,15.5,20,155,0,0,0,1,3
T Stubbs,2024-2025,2,1,0,31,31,31,21,147.61,0,0,0,2,1
Harpreet Brar,2021-2024,3,3,3,30,25*,-,21,142.85,0,0,0,2,2
CA Pujara,2010-2010,1,1,0,29,29,29,25,116,0,0,0,4,0
JA Morkel,2010-2010,1,1,0,28,28,28,12,233.33,0,0,0,1,3
B Kumar,2014-2024,4,3,1,27,27,13.5,31,87.09,0,0,1,3,0
AK Markram,2023-2024,2,2,0,27,17,13.5,29,93.1,0,0,0,1,0
DJ Malan,2021-2021,1,1,0,26,26,26,26,100,0,0,0,1,1
KS Williamson,2023-2024,2,1,0,26,26,26,22,118.18,0,0,0,4,0
S Badrinath,2010-2010,1,1,0,25,25,25,27,92.59,0,0,0,2,0
HH Gibbs,2010-2010,1,1,0,25,25,25,14,178.57,0,0,0,2,2
RV Patel,2023-2023,1,1,0,23,23,23,13,176.92,0,0,0,2,1
JM Bairstow,2024-2024,1,1,0,22,22,22,13,169.23,0,0,0,4,0
N Pooran,2021-2023,3,3,0,22,19,7.33,28,78.57,0,0,1,1,1
A Symonds,2010-2010,1,1,0,22,22,22,14,157.14,0,0,0,3,0
A Badoni,2023-2023,1,1,0,21,21,21,11,190.9,0,0,0,1,2
SP Narine,2014-2024,5,4,0,21,21,5.25,22,95.45,0,0,3,4,0
IK Pathan,2014-2014,1,1,1,21,21*,-,21,100,0,0,0,2,0
Shakib Al Hasan,2014-2014,1,1,1,21,21*,-,14,150,0,0,0,1,1
J Fraser-McGurk,2024-2024,1,1,0,20,20,20,10,200,0,0,0,2,2
T Kohler-Cadmore,2024-2024,1,1,0,20,20,20,15,133.33,0,0,0,4,0
AJ Finch,2014-2015,2,2,1,19,10*,19,24,79.16,0,0,0,3,0
ML Hayden,2010-2010,1,1,0,19,19,19,14,135.71,0,0,0,1,1
TM Head,2024-2024,2,2,0,19,19,9.5,16,118.75,0,0,1,3,0
SD Hope,2024-2024,1,1,0,19,19,19,10,190,0,0,0,1,2
MJ Santner,2023-2025,3,3,2,19,18*,19,14,135.71,0,0,1,1,2
OA Shah,2010-2010,1,1,1,19,19*,-,17,111.76,0,0,0,0,2
PP Chawla,2023-2024,3,3,0,18,18,6,15,120,0,0,2,1,1
M Markande,2023-2024,2,1,1,18,18*,-,9,200,0,0,0,2,1
SK Raina,2010-2015,2,2,0,18,14,9,20,90,0,0,0,1,0
GC Smith,2010-2010,1,1,0,18,18,18,17,105.88,0,0,0,3,0
R Ashwin,2015-2024,5,3,1,16,10,8,12,133.33,0,0,0,1,1
R Bhatia,2014-2014,4,3,2,16,6*,16,13,123.07,0,0,0,1,1
KA Jamieson,2021-2021,2,1,1,16,16*,-,11,145.45,0,0,0,1,1
PA Patel,2015-2015,1,1,0,16,16,16,11,145.45,0,0,0,2,0
R Powell,2024-2024,1,1,1,16,16*,-,8,200,0,0,0,2,1
JM Sharma,2024-2024,1,1,0,16,16,16,8,200,0,0,0,0,2
Sikandar Raza,2024-2024,1,1,0,15,15,15,16,93.75,0,0,0,0,0
UBT Chand,2014-2015,2,2,0,14,12,7,26,53.84,0,0,0,1,0
R Shukla,2014-2014,1,1,0,14,14,14,12,116.66,0,0,0,2,0
TH David,2023-2024,3,3,0,13,11,4.33,15,86.66,0,0,1,1,0
Ishan Kishan,2023-2024,3,2,0,13,13,6.5,25,52,0,0,1,1,0
MG Johnson,2015-2015,1,1,1,13,13*,-,7,185.71,0,0,0,1,0
KP Pietersen,2014-2014,1,1,0,13,13,13,18,72.22,0,0,0,1,0
AS Tendulkar,2023-2023,1,1,0,13,13,13,9,144.44,0,0,0,0,1
BB McCullum,2015-2015,1,1,0,12,12,12,7,171.42,0,0,0,3,0
TA Boult,2022-2025,5,2,1,11,11,11,8,137.5,0,0,0,0,1
MC Henriques,2014-2021,2,2,0,11,9,5.5,16,68.75,0,0,0,1,0
M Manhas,2010-2010,1,1,1,11,11*,-,10,110,0,0,0,1,0
Swapnil Singh,2023-2024,3,2,2,11,9*,-,8,137.5,0,0,0,0,1
PK Garg,2023-2023,1,1,0,10,10,10,14,71.42,0,0,0,0,0
VVS Laxman,2010-2010,1,1,0,10,10,10,12,83.33,0,0,0,1,0
R Sharma,2010-2010,1,1,0,10,10,10,5,200,0,0,0,0,1
K Nitish Kumar Reddy,2024-2024,1,1,0,9,9,9,10,90,0,0,0,1,0
MD Shanaka,2023-2023,1,1,1,9,9*,-,7,128.57,0,0,0,1,0
DW Steyn,2014-2014,1,1,0,9,9,9,8,112.5,0,0,0,1,0
TL Suman,2010-2010,1,1,0,9,9,9,15,60,0,0,0,0,0
Sumit Kumar,2024-2024,1,1,1,9,9*,-,9,100,0,0,0,2,0
BCJ Cutting,2014-2014,1,1,0,8,8,8,6,133.33,0,0,0,0,1
JP Duminy,2014-2014,1,1,0,8,8,8,8,100,0,0,0,0,1
DS Kulkarni,2014-2015,5,2,1,8,7*,8,8,100,0,0,0,1,0
OC McCoy,2022-2022,2,1,0,8,8,8,5,160,0,0,0,0,1
RR Rossouw,2023-2023,1,1,0,8,8,8,6,133.33,0,0,0,2,0
WPUJC Vaas,2010-2010,1,1,0,8,8,8,13,61.53,0,0,0,0,0
MS Wade,2022-2024,2,1,0,8,8,8,10,80,0,0,0,0,1
DA Warner,2014-2023,2,2,0,8,6,4,9,88.88,0,0,0,0,0
K Rabada,2021-2025,6,1,1,7,7*,-,5,140,0,0,0,0,1
Sanvir Singh,2023-2024,2,2,0,7,7,3.5,7,100,0,0,1,0,1
BA Stokes,2023-2023,1,1,0,7,7,7,6,116.66,0,0,0,1,0
V Viyaskanth,2024-2024,1,1,1,7,7*,-,5,140,0,0,0,0,0
JP Behrendorff,2023-2023,2,2,2,6,3*,-,9,66.66,0,0,0,0,0
N Jagadeesan,2023-2023,1,1,0,6,6,6,8,75,0,0,0,1,0
K Kartikeya,2023-2023,2,1,0,6,6,6,7,85.71,0,0,0,1,0
RD Rickelton,2025-2025,1,1,0,6,6,6,9,66.66,0,0,0,1,0
DR Sams,2021-2021,2,2,1,6,3*,6,6,100,0,0,0,0,0
Sandeep Sharma,2015-2025,4,1,1,6,6*,-,5,120,0,0,0,0,0
Washington Sundar,2021-2024,2,2,0,6,6,3,10,60,0,0,1,0,0
Anmolpreet Singh,2023-2023,1,1,0,5,5,5,4,125,0,0,0,1,0
SA Asnodkar,2010-2010,1,1,0,5,5,5,4,125,0,0,0,1,0
SM Curran,2024-2024,1,1,0,5,5,5,8,62.5,0,0,0,0,0
Ravi Bishnoi,2021-2023,4,2,1,5,4*,5,9,55.55,0,0,0,1,0
KV Sharma,2014-2024,3,2,0,5,5,2.5,5,100,0,0,1,1,0
PV Tambe,2014-2015,7,2,1,5,3,5,11,45.45,0,0,0,0,0
M Theekshana,2023-2025,2,1,0,5,5,5,13,38.46,0,0,0,0,0
Vishnu Vinod,2023-2023,1,1,0,5,5,5,7,71.42,0,0,0,0,0
UT Yadav,2014-2024,6,1,1,5,5*,-,6,83.33,0,0,0,0,0
Ankit Sharma,2014-2015,2,1,0,4,4,4,3,133.33,0,0,0,0,0
JC Archer,2025-2025,1,1,0,4,4,4,4,100,0,0,0,0,0
Imran Tahir,2014-2014,1,1,0,4,4,4,6,66.66,0,0,0,1,0
Kuldeep Yadav,2023-2025,3,2,2,4,4*,-,2,200,0,0,0,1,0
MM Patel,2010-2010,2,1,1,4,4*,-,3,133.33,0,0,0,0,0
LRPL Taylor,2014-2014,1,1,0,4,4,4,5,80,0,0,0,0,0
A Uniyal,2010-2010,1,1,1,4,4*,-,6,66.66,0,0,0,0,0
KB Arun Karthik,2010-2010,1,1,1,3,3*,-,5,60,0,0,0,0,0
TU Deshpande,2023-2025,4,1,0,3,3,3,3,100,0,0,0,0,0
KM Jadhav,2014-2014,1,1,0,3,3,3,3,100,0,0,0,0,0
M Jansen,2023-2025,2,1,0,3,3,3,6,50,0,0,0,0,0
AD Mascarenhas,2010-2010,1,1,0,3,3,3,3,100,0,0,0,0,0
R Minz,2025-2025,1,1,0,3,3,3,6,50,0,0,0,0,0
CH Morris,2015-2015,4,1,1,3,3*,-,3,100,0,0,0,0,0
A Nortje,2023-2023,1,1,1,3,3*,-,6,50,0,0,0,0,0
SN Thakur,2023-2024,2,2,1,3,3*,3,5,60,0,0,1,0,0
S Kaul,2014-2014,1,1,1,2,2*,-,2,100,0,0,0,0,0
S Narwal,2010-2010,2,1,1,2,2*,-,2,100,0,0,0,0,0
MM Sharma,2015-2025,15,2,1,2,2,2,15,13.33,0,0,0,0,0
MA Starc,2015-2025,3,1,1,2,2*,-,2,100,0,0,0,0,0
T Thushara,2010-2010,1,1,1,2,2*,-,3,66.66,0,0,0,0,0
Y Venugopal Rao,2010-2010,1,1,0,2,2,2,5,40,0,0,0,0,0
Arshad Khan,2025-2025,3,2,2,1,1*,-,1,100,0,0,0,0,0
Arshdeep Singh,2021-2025,3,1,1,1,1*,-,1,100,0,0,0,0,0
JJ Bumrah,2014-2024,2,1,1,1,1*,-,1,100,0,0,0,0,0
G Coetzee,2024-2024,1,1,0,1,1,1,3,33.33,0,0,0,0,0
SB Dubey,2025-2025,1,1,0,1,1,1,3,33.33,0,0,0,0,0
Fazalhaq Farooqi,2023-2025,2,1,1,1,1*,-,5,20,0,0,0,0,0
D Ferreira,2025-2025,1,1,0,1,1,1,3,33.33,0,0,0,0,0
AC Gilchrist,2010-2010,1,1,0,1,1,1,3,33.33,0,0,0,0,0
S Gopal,2014-2015,2,1,1,1,1*,-,1,100,0,0,0,0,0
JR Hazlewood,2022-2022,1,1,1,1,1*,-,2,50,0,0,0,0,0
SH Johnson,2024-2024,2,1,1,1,1*,-,1,100,0,0,0,0,0
Mohammed Shami,2021-2023,13,2,1,1,1*,1,3,33.33,0,0,1,0,0
SZ Mulani,2024-2024,1,1,1,1,1*,-,1,100,0,0,0,0,0
S Nadeem,2014-2014,1,1,0,1,1,1,4,25,0,0,0,0,0
Noor Ahmad,2023-2024,12,2,0,1,1,0.5,8,12.5,0,0,1,0,0
MK Pandey,2014-2023,2,2,0,1,1,0.5,4,25,0,0,1,0,0
R Ravindra,2024-2024,1,1,0,1,1,1,2,50,0,0,0,0,0
KW Richardson,2014-2014,1,1,0,1,1,1,2,50,0,0,0,0,0
R Sai Kishore,2022-2025,7,1,0,1,1,1,1,100,0,0,0,0,0
RP Singh,2010-2010,1,1,1,1,1*,-,4,25,0,0,0,0,0
SW Tait,2010-2010,4,1,1,1,1*,-,1,100,0,0,0,0,0
SK Warne,2010-2010,4,2,0,1,1,0.5,2,50,0,0,1,0,0
TM Dilshan,2010-2010,1,1,0,0,0,0,1,0,0,0,1,0,0
PW Hasaranga,2022-2022,1,1,0,0,0,0,1,0,0,0,1,0,0
AS Joseph,2023-2023,4,1,1,0,0*,-,0,-,0,0,0,0,0
AD Mathews,2010-2010,1,1,0,0,0,0,0,-,0,0,1,0,0
RP Meredith,2021-2023,3,1,1,0,0*,-,2,0,0,0,0,0,0
A Mishra,2010-2021,3,1,0,0,0,0,2,0,0,0,1,0,0
Mohammed Siraj,2021-2025,9,1,1,0,0*,-,1,0,0,0,0,0,0
V Nigam,2025-2025,1,1,0,0,0,0,1,0,0,0,1,0,0
PP Ojha,2010-2014,2,1,1,0,0*,-,0,-,0,0,0,0,0
KH Pandya,2023-2023,1,1,0,0,0,0,1,0,0,0,1,0,0
M Prasidh Krishna,2021-2025,8,1,1,0,0*,-,0,-,0,0,0,0,0
PD Salt,2023-2023,1,1,0,0,0,0,1,0,0,0,1,0,0
J Suchith,2015-2015,1,1,1,0,0*,-,1,0,0,0,0,0,0
RN ten Doeschate,2014-2014,1,1,0,0,0,0,1,0,0,0,1,0,0
S Ladda,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,-
KK Ahmed,2023-2024,2,-,-,-,-,-,-,-,-,-,-,-,-
Anureet Singh,2015-2015,1,-,-,-,-,-,-,-,-,-,-,-,-
VG Arora,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-
Avesh Khan,2021-2024,5,-,-,-,-,-,-,-,-,-,-,-,-
SE Bond,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,-
YS Chahal,2015-2025,8,-,-,-,-,-,-,-,-,-,-,-,-
DL Chahar,2023-2025,3,-,-,-,-,-,-,-,-,-,-,-,-
AB Dinda,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,-
LH Ferguson,2022-2024,3,-,-,-,-,-,-,-,-,-,-,-,-
RS Hangargekar,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-
Harbhajan Singh,2014-2014,1,-,-,-,-,-,-,-,-,-,-,-,-
Harshit Rana,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-
Iqbal Abdulla,2015-2015,1,-,-,-,-,-,-,-,-,-,-,-,-
SB Jakati,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,-
Joginder Sharma,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,-
M Kartik,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,-
Kartik Tyagi,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-
SN Khan,2015-2015,1,-,-,-,-,-,-,-,-,-,-,-,-
K Khejroliya,2025-2025,1,-,-,-,-,-,-,-,-,-,-,-,-
JB Little,2023-2023,6,-,-,-,-,-,-,-,-,-,-,-,-
MF Maharoof,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,-
SL Malinga,2015-2015,1,-,-,-,-,-,-,-,-,-,-,-,-
Mandeep Singh,2015-2015,1,-,-,-,-,-,-,-,-,-,-,-,-
A Madhwal,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-
Mohsin Khan,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-
Mujeeb Ur Rahman,2025-2025,1,-,-,-,-,-,-,-,-,-,-,-,-
Mukesh Kumar,2024-2025,2,-,-,-,-,-,-,-,-,-,-,-,-
M Muralidaran,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,-
DG Nalkande,2024-2024,2,-,-,-,-,-,-,-,-,-,-,-,-
DP Nannes,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,-
T Natarajan,2023-2024,2,-,-,-,-,-,-,-,-,-,-,-,-
A Nehra,2015-2015,1,-,-,-,-,-,-,-,-,-,-,-,-
IC Pandey,2015-2015,1,-,-,-,-,-,-,-,-,-,-,-,-
M Pathirana,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-
PVSN Raju,2025-2025,1,-,-,-,-,-,-,-,-,-,-,-,-
Ramandeep Singh,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-
S Sandeep Warrier,2024-2024,3,-,-,-,-,-,-,-,-,-,-,-,-
PJ Sangwan,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,-
K Santokie,2014-2014,1,-,-,-,-,-,-,-,-,-,-,-,-
