Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Unnamed: 15
,,,,,,,,,,,,,,,
Harpreet Brar,2019-2025,45,24,13,233,29,21.18,190,122.63,0,0,1,19,9,
,,,,,,,,,,,,,,,
Jofra Archer,2018-2025,50,30,13,220,27*,12.94,143,153.84,0,0,5,11,16,
,,,,,,,,,,,,,,,
K Goel,2008-2010,22,17,2,218,38,14.53,231,94.37,0,0,2,17,9,
,,,,,,,,,,,,,,,
AA Jhunjhunwala,2010-2012,21,16,3,217,53*,16.69,210,103.33,0,1,1,19,5,
,,,,,,,,,,,,,,,
Mohammad Nabi,2017-2024,24,19,3,215,31,13.43,150,143.33,0,0,1,18,11,
,,,,,,,,,,,,,,,
Kagiso Rabada,2017-2025,82,32,15,213,44,12.52,198,107.57,0,0,4,16,9,
,,,,,,,,,,,,,,,
Rishi Dhawan,2013-2024,39,24,13,210,25*,19.09,187,112.29,0,0,1,18,7,
,,,,,,,,,,,,,,,
Umesh Yadav,2010-2024,148,52,31,208,24*,9.9,201,103.48,0,0,8,16,9,
,,,,,,,,,,,,,,,
CA Ingram,2011-2019,15,15,3,205,47,17.08,180,113.88,0,0,0,22,5,
,,,,,,,,,,,,,,,
PD Collingwood,2010-2010,8,7,2,203,75*,40.6,156,130.12,0,3,0,9,13,
,,,,,,,,,,,,,,,
Ramandeep Singh,2022-2025,27,18,8,200,35,20,128,156.25,0,0,1,9,15,
,,,,,,,,,,,,,,,
KS Bharat,2021-2022,10,9,2,199,78*,28.42,163,122.08,0,1,1,12,8,
,,,,,,,,,,,,,,,
Shane Warne,2008-2011,55,29,9,198,34*,9.9,214,92.52,0,0,7,14,6,
,,,,,,,,,,,,,,,
Jaydev Unadkat,2010-2025,108,32,16,197,26,12.31,166,118.67,0,0,2,16,7,
,,,,,,,,,,,,,,,
Stypen Fleming,2008-2008,10,10,1,196,45,21.77,165,118.78,0,0,1,27,3,
,,,,,,,,,,,,,,,
Kuldeep Yadav,2016-2025,94,37,23,194,35*,13.85,224,86.6,0,0,5,18,3,
,,,,,,,,,,,,,,,
AS Raut,2009-2011,22,16,7,194,36*,21.55,167,116.16,0,0,1,13,7,
,,,,,,,,,,,,,,,
BJ Rohrer,2013-2013,8,8,2,193,64*,32.16,140,137.85,0,1,0,21,5,
,,,,,,,,,,,,,,,
Salman Butt,2008-2008,7,7,0,193,73,27.57,161,119.87,0,1,0,30,2,
,,,,,,,,,,,,,,,
YV Takawale,2008-2014,16,10,2,192,45,24,178,107.86,0,0,2,26,3,
,,,,,,,,,,,,,,,
Harry Brook,2023-2023,11,11,2,190,100*,21.11,154,123.37,1,0,3,23,4,
,,,,,,,,,,,,,,,
Aniket Verma,2025-2025,9,8,1,190,74,27.14,118,161.01,0,1,0,9,16,
,,,,,,,,,,,,,,,
Bipul Sharma,2010-2017,33,17,9,187,35*,23.37,123,152.03,0,0,0,11,9,
,,,,,,,,,,,,,,,
FY Fazal,2010-2011,12,11,1,183,45,18.3,173,105.78,0,0,1,22,1,
,,,,,,,,,,,,,,,
Shai Hope,2024-2024,9,9,1,183,41,22.87,122,150,0,0,0,12,12,
,,,,,,,,,,,,,,,
Mathew Wade,2011-2024,15,14,0,183,35,13.07,177,103.38,0,0,0,23,2,
,,,,,,,,,,,,,,,
Sikandar Raza,2023-2024,9,9,2,182,57,26,136,133.82,0,1,0,12,8,
,,,,,,,,,,,,,,,
CR Brathwaite,2016-2019,16,14,1,181,43*,13.92,111,163.06,0,0,0,10,16,
,,,,,,,,,,,,,,,
AC Voges,2010-2010,9,7,3,181,45*,45.25,143,126.57,0,0,0,15,3,
,,,,,,,,,,,,,,,
Sheryas Gopal,2014-2024,52,22,8,180,24,12.85,169,106.5,0,0,4,19,2,
,,,,,,,,,,,,,,,
AB Agarkar,2008-2013,42,22,12,179,39,17.9,154,116.23,0,0,1,13,5,
,,,,,,,,,,,,,,,
MF Maharoof,2008-2010,20,14,4,177,39,17.7,123,143.9,0,0,2,12,9,
,,,,,,,,,,,,,,,
C Munro,2016-2019,13,12,0,177,40,14.75,141,125.53,0,0,2,19,8,
,,,,,,,,,,,,,,,
DH Yagnik,2011-2014,25,17,7,170,34,17,137,124.08,0,0,1,23,2,
,,,,,,,,,,,,,,,
CM Gautam,2013-2015,13,13,3,169,33,16.9,150,112.66,0,0,0,17,6,
,,,,,,,,,,,,,,,
Mitchell Johnson,2013-2018,54,30,17,167,16*,12.84,164,101.82,0,0,2,10,7,
,,,,,,,,,,,,,,,
DW Steyn,2008-2020,95,37,15,167,19*,7.59,160,104.37,0,0,5,14,3,
,,,,,,,,,,,,,,,
MN van Wyk,2009-2009,5,5,2,167,74,55.66,132,126.51,0,1,1,19,1,
,,,,,,,,,,,,,,,
PA Reddy,2012-2013,12,11,1,164,42,16.4,160,102.5,0,0,0,15,2,
,,,,,,,,,,,,,,,
N Jagadeesan,2020-2023,13,10,1,162,39*,18,147,110.2,0,0,2,21,2,
,,,,,,,,,,,,,,,
MN Samuels,2012-2017,15,14,1,161,46,12.38,172,93.6,0,0,1,9,7,
,,,,,,,,,,,,,,,
R McLaren,2010-2013,18,13,5,159,51*,19.87,171,92.98,0,1,1,14,1,
,,,,,,,,,,,,,,,
RE van der Merwe,2009-2013,21,15,4,159,35,14.45,141,112.76,0,0,0,11,8,
,,,,,,,,,,,,,,,
Vaibhav Suryavanshi,2025-2025,3,3,0,151,101,50.33,70,215.71,1,0,0,9,16,
,,,,,,,,,,,,,,,
AD Hales,2018-2018,6,6,0,148,45,24.66,118,125.42,0,0,0,13,6,
,,,,,,,,,,,,,,,
D Wiese,2015-2023,18,11,6,148,47*,29.6,101,146.53,0,0,0,12,7,
,,,,,,,,,,,,,,,
SM Pollock,2008-2008,13,8,0,147,33,18.37,111,132.43,0,0,2,12,8,
,,,,,,,,,,,,,,,
S Vidyut,2008-2008,9,8,0,145,54,18.12,109,133.02,0,1,1,21,3,
,,,,,,,,,,,,,,,
Sachin Baby,2013-2021,19,11,2,144,33,16,118,122.03,0,0,1,11,5,
,,,,,,,,,,,,,,,
Marco Jansen,2021-2025,31,20,10,141,34*,14.1,127,111.02,0,0,2,8,6,
,,,,,,,,,,,,,,,
N Saini,2012-2012,10,10,0,140,50,14,141,99.29,0,1,0,16,0,
,,,,,,,,,,,,,,,
Anmolpreet Singh,2021-2024,9,9,0,139,36,15.44,115,120.86,0,0,1,19,3,
,,,,,,,,,,,,,,,
S Anirudha,2008-2014,20,13,5,136,64,17,113,120.35,0,1,2,9,7,
,,,,,,,,,,,,,,,
SB Styris,2008-2011,12,10,3,131,36*,18.71,133,98.49,0,0,0,10,3,
,,,,,,,,,,,,,,,
W Jaffer,2008-2009,8,8,0,130,50,16.25,121,107.43,0,1,1,14,3,
,,,,,,,,,,,,,,,
Rahul Chahar,2017-2025,79,24,8,129,25*,8.06,124,104.03,0,0,8,13,5,
,,,,,,,,,,,,,,,
Kamran Akmal,2008-2008,6,6,1,128,53*,25.6,78,164.1,0,1,0,13,8,
,,,,,,,,,,,,,,,
Tom Curran,2018-2021,13,10,5,127,54*,25.4,107,118.69,0,1,0,10,3,
,,,,,,,,,,,,,,,
P Dogra,2010-2013,13,12,1,127,41,11.54,138,92.02,0,0,1,4,5,
,,,,,,,,,,,,,,,
UT Khawaja,2016-2016,6,6,0,127,30,21.16,100,127,0,0,0,14,3,
,,,,,,,,,,,,,,,
M Morkel,2009-2016,70,23,12,126,23*,11.45,90,140,0,0,5,11,4,
,,,,,,,,,,,,,,,
Suyash Prabhudessai,2022-2024,11,10,0,126,34,12.6,106,118.86,0,0,1,11,4,
,,,,,,,,,,,,,,,
MC Juneja,2013-2013,7,7,0,125,49,17.85,128,97.65,0,0,0,11,1,
,,,,,,,,,,,,,,,
BB Samantray,2012-2013,9,8,3,125,55,25,113,110.61,0,1,1,13,2,
,,,,,,,,,,,,,,,
Mohit Sharma,2013-2025,119,33,15,125,21*,6.94,136,91.91,0,0,5,8,4,
,,,,,,,,,,,,,,,
B Lee,2008-2013,38,19,9,124,25,12.4,97,127.83,0,0,1,8,8,
,,,,,,,,,,,,,,,
Harpreet Singh,2010-2024,9,8,1,123,41,17.57,119,103.36,0,0,0,10,3,
,,,,,,,,,,,,,,,
AB McDonald,2009-2013,10,9,4,123,33*,24.6,100,123,0,0,1,9,4,
,,,,,,,,,,,,,,,
NK Patel,2008-2009,9,6,2,121,57,30.25,119,101.68,0,1,0,14,1,
,,,,,,,,,,,,,,,
DL Vettori,2008-2012,34,17,9,121,29,15.12,113,107.07,0,0,1,11,2,
,,,,,,,,,,,,,,,
AC Blizzard,2011-2012,7,7,0,120,51,17.14,90,133.33,0,1,1,21,2,
,,,,,,,,,,,,,,,
TG Southee,2011-2023,53,20,7,120,36*,9.23,107,112.14,0,0,3,8,4,
,,,,,,,,,,,,,,,
RJ Harris,2009-2013,37,21,9,117,17,9.75,112,104.46,0,0,2,6,3,
,,,,,,,,,,,,,,,
Z Khan,2008-2017,99,32,18,117,23*,8.35,141,82.97,0,0,5,11,2,
,,,,,,,,,,,,,,,
Misbah-ul-Haq,2008-2008,8,8,1,117,47*,16.71,81,144.44,0,0,2,10,6,
,,,,,,,,,,,,,,,
MW Short,2023-2023,6,6,0,117,36,19.5,92,127.17,0,0,0,15,4,
,,,,,,,,,,,,,,,
KK Cooper,2012-2014,25,14,5,116,32,12.88,68,170.58,0,0,1,9,8,
,,,,,,,,,,,,,,,
Aman Hakim Khan,2022-2023,12,10,1,115,51,12.77,104,110.57,0,1,1,8,6,
,,,,,,,,,,,,,,,
Romario Shepherd,2022-2025,13,9,4,115,39*,23,63,182.53,0,0,1,7,10,
,,,,,,,,,,,,,,,
DJM Short,2018-2018,7,7,0,115,44,16.42,99,116.16,0,0,0,11,5,
,,,,,,,,,,,,,,,
M Kartik,2008-2014,56,16,9,113,21,16.14,108,104.62,0,0,1,7,1,
,,,,,,,,,,,,,,,
DJ Harris,2012-2012,4,4,0,111,47,27.75,101,109.9,0,0,0,11,5,
,,,,,,,,,,,,,,,
Mitchell Starc,2014-2025,50,22,11,110,29,10,118,93.22,0,0,3,11,0,
,,,,,,,,,,,,,,,
Deepak Chahar,2016-2025,90,16,8,109,39,13.62,76,143.42,0,0,4,4,8,
,,,,,,,,,,,,,,,
Mohammed Siraj,2017-2025,102,25,15,109,14*,10.9,119,91.59,0,0,2,10,4,
,,,,,,,,,,,,,,,
Mitchell Santner,2019-2025,27,16,8,109,22,13.62,100,109,0,0,1,6,6,
,,,,,,,,,,,,,,,
JDP Oram,2008-2013,18,12,4,106,41*,13.25,108,98.14,0,0,1,6,5,
,,,,,,,,,,,,,,,
LJ Wright,2012-2013,7,6,1,106,44,21.2,60,176.66,0,0,0,16,3,
,,,,,,,,,,,,,,,
Dhawal Kulkarni,2008-2021,91,23,14,104,28*,11.55,108,96.29,0,0,0,7,2,
,,,,,,,,,,,,,,,
Vipraj Nigam,2025-2025,10,6,1,104,39,20.8,51,203.92,0,0,1,11,6,
,,,,,,,,,,,,,,,
RJ Quiney,2009-2009,7,7,0,103,51,14.71,102,100.98,0,1,0,12,3,
,,,,,,,,,,,,,,,
Arshad Khan,2023-2025,15,9,5,102,58*,25.5,70,145.71,0,1,1,6,6,
,,,,,,,,,,,,,,,
SD Chitnis,2008-2012,11,8,1,99,38,14.14,89,111.23,0,0,0,10,2,
,,,,,,,,,,,,,,,
MS Gony,2008-2017,44,17,7,99,42,9.9,71,139.43,0,0,3,6,8,
,,,,,,,,,,,,,,,
MJ Clarke,2012-2012,6,6,0,98,41,16.33,94,104.25,0,0,0,12,0,
,,,,,,,,,,,,,,,
CJ Ferguson,2011-2012,8,8,2,98,23,16.33,117,83.76,0,0,0,9,0,
,,,,,,,,,,,,,,,
PN Mankad,2022-2023,6,6,3,97,64*,32.33,73,132.87,0,1,1,13,2,
,,,,,,,,,,,,,,,
Shubham Dubey,2024-2025,10,8,3,92,34*,18.4,55,167.27,0,0,1,6,7,
,,,,,,,,,,,,,,,
DJ Jacobs,2011-2012,7,7,0,92,32,13.14,98,93.87,0,0,1,10,4,
,,,,,,,,,,,,,,,
JDS Neesham,2014-2022,14,10,1,92,22,10.22,93,98.92,0,0,2,6,2,
,,,,,,,,,,,,,,,
PR Shah,2008-2011,16,10,2,92,29,11.5,91,101.09,0,0,1,9,2,
,,,,,,,,,,,,,,,
RT Ponting,2008-2013,10,9,0,91,28,10.11,128,71.09,0,0,3,5,2,
,,,,,,,,,,,,,,,
S Rana,2011-2014,10,8,4,91,19*,22.75,81,112.34,0,0,0,9,1,
,,,,,,,,,,,,,,,
AJ Tye,2017-2022,30,13,4,91,25,10.11,76,119.73,0,0,2,6,5,
,,,,,,,,,,,,,,,
AD Nath,2016-2019,14,10,0,90,24,9,98,91.83,0,0,1,7,2,
,,,,,,,,,,,,,,,
Iqbal Abdulla,2008-2017,49,13,11,88,33*,44,84,104.76,0,0,1,9,1,
,,,,,,,,,,,,,,,
SL Malinga,2009-2019,122,25,9,88,17,5.5,99,88.88,0,0,6,6,5,
,,,,,,,,,,,,,,,
Ankit Sharma,2012-2018,22,10,3,87,30,12.42,67,129.85,0,0,1,7,4,
,,,,,,,,,,,,,,,
AP Majumdar,2012-2012,4,4,0,87,31,21.75,76,114.47,0,0,0,7,2,
,,,,,,,,,,,,,,,
Trent Boult,2015-2025,113,29,20,85,17*,9.44,81,104.93,0,0,3,5,3,
,,,,,,,,,,,,,,,
MJ McClenaghan,2015-2019,56,24,11,85,20,6.53,70,121.42,0,0,6,5,7,
,,,,,,,,,,,,,,,
Mohammed Shami,2013-2025,118,29,15,84,21,6,89,94.38,0,0,4,7,2,
,,,,,,,,,,,,,,,
RE Levi,2012-2012,6,6,0,83,50,13.83,73,113.69,0,1,2,10,4,
,,,,,,,,,,,,,,,
NM Coulter-Nile,2013-2022,39,17,6,82,24*,7.45,72,113.88,0,0,0,7,4,
,,,,,,,,,,,,,,,
LA Carseldine,2009-2009,5,5,1,81,39,20.25,68,119.11,0,0,0,11,0,
,,,,,,,,,,,,,,,
Wanindu Hasaranga,2021-2025,34,17,4,81,18,6.23,85,95.29,0,0,3,7,1,
,,,,,,,,,,,,,,,
CJ Jordan,2016-2023,34,13,3,81,30,8.1,77,105.19,0,0,1,3,3,
,,,,,,,,,,,,,,,
Shahid Afridi,2008-2008,10,9,1,81,33,10.12,46,176.08,0,0,1,7,6,
,,,,,,,,,,,,,,,
WPUJC Vaas,2008-2010,13,11,3,81,20,10.12,73,110.95,0,0,3,2,3,
,,,,,,,,,,,,,,,
RV Patel,2021-2023,9,7,2,80,23,16,73,109.58,0,0,0,6,2,
,,,,,,,,,,,,,,,
AD Mascarenhas,2008-2013,13,11,2,79,27,8.77,78,101.28,0,0,2,5,1,
,,,,,,,,,,,,,,,
JR Philippe,2020-2020,5,5,1,78,33,19.5,77,101.29,0,0,1,9,1,
,,,,,,,,,,,,,,,
CR Woakes,2017-2021,21,12,6,78,18,13,77,101.29,0,0,0,7,2,
,,,,,,,,,,,,,,,
B Akhil,2008-2011,15,11,5,76,27*,12.66,55,138.18,0,0,2,5,5,
,,,,,,,,,,,,,,,
IR Jaggi,2011-2017,7,7,2,76,28,15.2,97,78.35,0,0,0,6,0,
,,,,,,,,,,,,,,,
TR Birt,2011-2011,5,5,0,75,27,15,58,129.31,0,0,0,9,2,
,,,,,,,,,,,,,,,
Sameer Rizvi,2024-2025,10,7,1,75,21,12.5,62,120.96,0,0,1,6,3,
,,,,,,,,,,,,,,,
M Klinger,2011-2011,4,4,0,73,29,18.25,77,94.8,0,0,0,9,0,
,,,,,,,,,,,,,,,
RR Sarwan,2008-2008,4,4,0,73,31,18.25,75,97.33,0,0,0,6,1,
,,,,,,,,,,,,,,,
Lockie Ferguson,2017-2025,49,11,8,72,24*,24,47,153.19,0,0,1,7,2,
,,,,,,,,,,,,,,,
J Suchith,2015-2022,22,10,6,70,34*,17.5,61,114.75,0,0,1,6,3,
,,,,,,,,,,,,,,,
AA Bilakhia,2009-2010,7,7,2,69,22,13.8,85,81.17,0,0,0,5,0,
,,,,,,,,,,,,,,,
Ayush Mhatre,2025-2025,3,3,0,69,32,23,40,172.5,0,0,0,11,2,
,,,,,,,,,,,,,,,
Vivrant Sharma,2023-2023,3,1,0,69,69,69,47,146.8,0,1,0,9,2,
,,,,,,,,,,,,,,,
Jasprit Bumrah,2013-2025,139,31,24,68,16*,9.71,79,86.07,0,0,5,5,1,
,,,,,,,,,,,,,,,
RR Powar,2008-2012,27,10,7,67,28*,22.33,64,104.68,0,0,1,6,1,
,,,,,,,,,,,,,,,
R Sharma,2010-2014,43,20,6,66,14*,4.71,75,88,0,0,8,5,3,
,,,,,,,,,,,,,,,
HR Shokeen,2022-2023,13,6,3,66,25,22,65,101.53,0,0,0,9,0,
,,,,,,,,,,,,,,,
KA Jamieson,2021-2021,9,7,3,65,16*,16.25,55,118.18,0,0,0,5,3,
,,,,,,,,,,,,,,,
WD Parnell,2011-2023,33,14,4,65,16,6.5,80,81.25,0,0,0,4,1,
,,,,,,,,,,,,,,,
GD Phillips,2021-2023,8,8,1,65,25,9.28,55,118.18,0,0,1,3,6,
,,,,,,,,,,,,,,,
Mohammad Hafeez,2008-2008,8,8,1,64,16,9.14,83,77.1,0,0,0,7,2,
,,,,,,,,,,,,,,,
Anirudh Singh,2010-2010,5,4,0,63,40,15.75,66,95.45,0,0,1,6,1,
,,,,,,,,,,,,,,,
A Flintoff,2009-2009,3,3,1,62,24,31,53,116.98,0,0,0,5,2,
,,,,,,,,,,,,,,,
Josh Inglis,2025-2025,5,5,2,62,29,20.66,52,119.23,0,0,0,7,1,
,,,,,,,,,,,,,,,
SP Jackson,2017-2022,9,8,2,61,16,10.16,57,107.01,0,0,1,5,1,
,,,,,,,,,,,,,,,
Kamindu Mendis,2025-2025,3,3,1,60,32*,30,47,127.65,0,0,0,4,2,
,,,,,,,,,,,,,,,
Sandeep Sharma,2013-2025,136,28,22,60,9,10,75,80,0,0,4,4,0,
,,,,,,,,,,,,,,,
S Aravind,2011-2017,38,12,8,59,14*,14.75,57,103.5,0,0,2,7,0,
,,,,,,,,,,,,,,,
Azmatullah Omarzai,2024-2025,10,5,0,58,17,11.6,48,120.83,0,0,0,4,3,
,,,,,,,,,,,,,,,
MG Bracewell,2023-2023,5,4,2,58,26,29,47,123.4,0,0,0,6,1,
,,,,,,,,,,,,,,,
Shaik Rasheed,2025-2025,4,4,0,57,27,14.25,52,109.61,0,0,1,8,1,
,,,,,,,,,,,,,,,
Ishant Sharma,2008-2025,116,28,22,57,10*,9.5,69,82.6,0,0,1,4,2,
,,,,,,,,,,,,,,,
WA Mota,2008-2009,12,8,2,56,25,9.33,75,74.66,0,0,0,2,0,
,,,,,,,,,,,,,,,
Vishnu Vinod,2017-2023,6,6,0,56,30,9.33,57,98.24,0,0,0,3,3,
,,,,,,,,,,,,,,,
M Rawat,2008-2013,18,12,7,55,23*,11,69,79.71,0,0,1,4,1,
,,,,,,,,,,,,,,,
A Chopra,2008-2009,7,6,0,53,24,8.83,71,74.64,0,0,0,7,0,
,,,,,,,,,,,,,,,
DJ Willey,2018-2023,11,5,3,53,20*,26.5,62,85.48,0,0,1,7,0,
,,,,,,,,,,,,,,,
Shoaib Malik,2008-2008,7,5,1,52,24,13,47,110.63,0,0,0,5,0,
,,,,,,,,,,,,,,,
RP Singh,2008-2016,82,30,15,52,10,3.46,76,68.42,0,0,5,2,1,
,,,,,,,,,,,,,,,
KB Arun Karthik,2010-2013,17,8,3,51,19*,10.2,51,100,0,0,1,4,1,
,,,,,,,,,,,,,,,
R Rampaul,2013-2014,12,7,2,51,23*,10.2,50,102,0,0,3,3,2,
,,,,,,,,,,,,,,,
Shivam Mavi,2018-2022,32,12,3,51,20,5.66,56,91.07,0,0,3,4,2,
,,,,,,,,,,,,,,,
OF Smith,2022-2022,6,6,3,51,25*,17,44,115.9,0,0,1,1,5,
,,,,,,,,,,,,,,,
Swapnil Singh,2016-2024,14,9,4,51,15*,10.2,45,113.33,0,0,2,3,3,
,,,,,,,,,,,,,,,
VR Aaron,2011-2022,52,13,8,50,17*,10,72,69.44,0,0,1,2,2,
,,,,,,,,,,,,,,,
RV Gomez,2011-2013,13,9,4,50,26*,10,51,98.03,0,0,3,5,1,
,,,,,,,,,,,,,,,
SB Bangar,2008-2009,12,8,1,49,17*,7,58,84.48,0,0,1,1,3,
,,,,,,,,,,,,,,,
Anrich Nortje,2020-2025,47,16,10,49,23*,8.16,49,100,0,0,2,6,0,
,,,,,,,,,,,,,,,
AG Paunikar,2010-2011,5,5,0,49,20,9.8,58,84.48,0,0,1,9,0,
,,,,,,,,,,,,,,,
AS Yadav,2008-2008,8,6,1,49,16,9.8,39,125.64,0,0,1,5,2,
,,,,,,,,,,,,,,,
T Kohler-Cadmore,2024-2024,3,3,0,48,20,16,54,88.88,0,0,0,7,1,
,,,,,,,,,,,,,,,
M Markande,2018-2024,37,11,8,48,18*,16,42,114.28,0,0,0,5,1,
,,,,,,,,,,,,,,,
Yashpal Singh,2009-2009,8,4,0,47,20,11.75,66,71.21,0,0,0,5,0,
,,,,,,,,,,,,,,,
Dushmantha Chameera,2022-2025,16,10,6,45,17,11.25,32,140.62,0,0,2,3,3,
,,,,,,,,,,,,,,,
Ravi Bishnoi,2020-2025,76,17,7,45,13,4.5,66,68.18,0,0,2,2,2,
,,,,,,,,,,,,,,,
D Pretorius,2022-2023,7,5,1,44,22,11,28,157.14,0,0,1,3,3,
,,,,,,,,,,,,,,,
DR Sams,2020-2022,16,13,4,44,15,4.88,44,100,0,0,3,1,3,
,,,,,,,,,,,,,,,
Avesh Khan,2017-2025,71,13,10,43,12,14.33,27,159.25,0,0,1,3,3,
,,,,,,,,,,,,,,,
Sunny Singh,2011-2011,6,5,1,43,20,10.75,31,138.7,0,0,0,6,1,
,,,,,,,,,,,,,,,
AB Barath,2010-2010,3,3,1,42,33,21,42,100,0,0,0,5,1,
,,,,,,,,,,,,,,,
SK Trivedi,2008-2013,76,15,8,42,9,6,59,71.18,0,0,1,3,1,
,,,,,,,,,,,,,,,
A Nehra,2008-2017,88,22,15,41,22*,5.85,62,66.12,0,0,5,3,1,
,,,,,,,,,,,,,,,
BR Dunk,2014-2014,3,3,0,40,20,13.33,35,114.28,0,0,0,7,0,
,,,,,,,,,,,,,,,
Rasikh Salam,2019-2025,13,6,1,40,10,8,40,100,0,0,0,5,0,
,,,,,,,,,,,,,,,
LPC Silva,2008-2008,3,3,1,40,23*,20,26,153.84,0,0,1,5,1,
,,,,,,,,,,,,,,,
J Yadav,2015-2023,20,5,1,40,23,10,36,111.11,0,0,0,2,1,
,,,,,,,,,,,,,,,
S Nadeem,2011-2021,72,22,8,39,6*,2.78,87,44.82,0,0,6,2,0,
,,,,,,,,,,,,,,,
MM Patel,2008-2017,63,15,9,39,23*,6.5,41,95.12,0,0,5,5,0,
,,,,,,,,,,,,,,,
AUK Pathan,2011-2012,8,7,2,39,14,7.8,23,169.56,0,0,2,5,2,
,,,,,,,,,,,,,,,
DJ Thornely,2008-2008,6,4,2,39,30,19.5,53,73.58,0,0,0,2,2,
,,,,,,,,,,,,,,,
Umar Gul,2008-2008,6,4,1,39,24,13,19,205.26,0,0,0,1,5,
,,,,,,,,,,,,,,,
Yuzvendra Chahal,2013-2025,170,20,13,37,8*,5.28,86,43.02,0,0,1,0,0,
,,,,,,,,,,,,,,,
S Narwal,2010-2013,7,4,1,37,23,12.33,27,137.03,0,0,1,6,0,
,,,,,,,,,,,,,,,
AN Ahmed,2010-2015,17,6,5,36,18*,36,26,138.46,0,0,0,4,1,
,,,,,,,,,,,,,,,
Anureet Singh,2009-2018,23,8,4,36,15,9,47,76.59,0,0,2,2,1,
,,,,,,,,,,,,,,,
L Balaji,2008-2014,73,15,7,36,15,4.5,49,73.46,0,0,5,2,1,
,,,,,,,,,,,,,,,
Joginder Sharma,2008-2011,16,6,2,36,16*,9,30,120,0,0,2,1,2,
,,,,,,,,,,,,,,,
KW Richardson,2013-2021,15,4,1,36,26,12,39,92.3,0,0,0,2,1,
,,,,,,,,,,,,,,,
Sohail Tanvir,2008-2008,11,5,2,36,13,12,29,124.13,0,0,0,3,1,
,,,,,,,,,,,,,,,
M Ashwin,2016-2023,44,13,4,35,9,3.88,50,70,0,0,2,2,1,
,,,,,,,,,,,,,,,
A Kumble,2008-2010,42,17,14,35,8,11.66,47,74.46,0,0,0,3,0,
,,,,,,,,,,,,,,,
B Sumanth,2010-2010,5,4,3,35,16,35,37,94.59,0,0,0,3,0,
,,,,,,,,,,,,,,,
AP Dole,2010-2010,3,2,0,34,30,17,22,154.54,0,0,0,3,1,
,,,,,,,,,,,,,,,
A Mithun,2009-2013,16,8,3,34,11,6.8,26,130.76,0,0,1,4,1,
,,,,,,,,,,,,,,,
L Ronchi,2008-2009,5,5,0,34,13,6.8,34,100,0,0,1,6,1,
,,,,,,,,,,,,,,,
S Sreesanth,2008-2013,44,14,10,34,15*,8.5,55,61.81,0,0,3,6,0,
,,,,,,,,,,,,,,,
Imran Tahir,2014-2021,59,9,5,33,13*,8.25,37,89.18,0,0,0,5,0,
,,,,,,,,,,,,,,,
NA Saini,2019-2023,32,7,3,33,12*,8.25,37,89.18,0,0,0,3,0,
,,,,,,,,,,,,,,,
D Salunkhe,2008-2008,6,3,1,33,26*,16.5,24,137.5,0,0,0,5,0,
,,,,,,,,,,,,,,,
Basil Thampi,2017-2022,25,8,7,32,13*,32,35,91.42,0,0,0,1,1,
,,,,,,,,,,,,,,,
AT Carey,2020-2020,3,3,1,32,14*,16,29,110.34,0,0,0,0,1,
,,,,,,,,,,,,,,,
RJ Peterson,2012-2012,5,5,2,32,16*,10.66,30,106.66,0,0,1,3,1,
,,,,,,,,,,,,,,,
Arshdeep Singh,2019-2025,75,14,8,31,10*,5.16,46,67.39,0,0,3,4,0,
,,,,,,,,,,,,,,,
NS Naik,2016-2020,4,4,0,31,22,7.75,50,62,0,0,0,2,0,
,,,,,,,,,,,,,,,
S Sriram,2010-2011,2,2,0,31,27,15.5,36,86.11,0,0,0,3,0,
,,,,,,,,,,,,,,,
T Taibu,2008-2008,3,3,0,31,15,10.33,26,119.23,0,0,0,3,0,
,,,,,,,,,,,,,,,
J Syed Mohammad,2011-2013,11,5,3,29,13*,14.5,26,111.53,0,0,0,4,0,
,,,,,,,,,,,,,,,
VH Zol,2014-2014,3,2,0,29,16,14.5,26,111.53,0,0,0,3,1,
,,,,,,,,,,,,,,,
Tushar Deshpande,2020-2025,43,8,6,28,20*,14,22,127.27,0,0,0,2,1,
,,,,,,,,,,,,,,,
SB Jakati,2009-2017,59,8,7,28,13,28,29,96.55,0,0,0,3,0,
,,,,,,,,,,,,,,,
AS Joseph,2019-2024,22,7,6,27,15*,27,32,84.37,0,0,1,3,0,
,,,,,,,,,,,,,,,
AB Dinda,2008-2017,78,17,7,26,7,2.6,48,54.16,0,0,6,2,0,
,,,,,,,,,,,,,,,
JM Kemp,2010-2010,5,2,0,26,22,13,24,108.33,0,0,0,1,1,
,,,,,,,,,,,,,,,
NL McCullum,2011-2011,2,2,1,26,15,26,22,118.18,0,0,0,0,1,
,,,,,,,,,,,,,,,
DJ Malan,2021-2021,1,1,0,26,26,26,26,100,0,0,0,1,1,
,,,,,,,,,,,,,,,
AS Rajpoot,2013-2020,29,7,2,26,8,5.2,41,63.41,0,0,0,2,1,
,,,,,,,,,,,,,,,
Ankul Roy,2019-2025,11,7,3,26,13*,6.5,25,104,0,0,3,3,0,
,,,,,,,,,,,,,,,
PJ Sangwan,2008-2022,42,15,7,26,6*,3.25,44,59.09,0,0,4,1,0,
,,,,,,,,,,,,,,,
TL Seifert,2021-2022,3,3,0,26,21,8.66,23,113.04,0,0,0,4,0,
