Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Unnamed: 15
SN Khan,2015-2023,50.0,37,11,585,67,22.50,448,130.58,0,1,3,63,14,
"(Delhi Capitals, Kings XI Punjab, Punjab Kings, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
PJ Cummins,2014-2025,67.0,48,18,580,66*,19.33,386,150.25,0,3,4,38,39,
"(Delhi Daredevils, Kolkata Knight Riders, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
HM Amla,2016-2017,16.0,16,3,577,104*,44.38,407,141.76,2,3,2,60,21,
(Kings XI Punjab),,,,,,,,,,,,,,,
Rashid Khan,2017-2025,130.0,63,24,567,79*,14.53,347,163.40,0,1,15,40,40,
"(Gujarat Titans, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
Shahbaz Ahmed,2020-2025,56.0,38,9,545,59*,18.79,448,121.65,0,1,1,29,25,
"(Lucknow Super Giants, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
N Wadhera,2023-2025,29.0,24,3,544,64,25.90,382,142.40,0,3,1,47,30,
"(Mumbai Indians, Punjab Kings)",,,,,,,,,,,,,,,
CJ Anderson,2014-2018,30.0,29,7,538,95*,24.45,423,127.18,0,3,2,40,31,
"(Delhi Daredevils, Mumbai Indians, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
RS Bopara,2009-2015,24.0,22,4,531,84,29.50,453,117.21,0,3,2,39,16,
"(Kings XI Punjab, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
JP Faulkner,2012-2017,58.0,45,20,527,46,21.08,389,135.47,0,0,0,36,23,
"(Gujarat Lions, Kings XI Punjab, Rajasthan Royals)",,,,,,,,,,,,,,,
MK Lomror,2018-2024,40.0,35,6,527,54*,18.17,373,141.28,0,1,3,33,30,
"(Rajasthan Royals, Royal Challengers Bangalore, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
M Manhas,2008-2014,55.0,38,15,514,42*,22.34,470,109.36,0,0,6,43,10,
"(Chennai Super Kings, Delhi Daredevils, Pune Warriors)",,,,,,,,,,,,,,,
Gurkeerat Singh,2012-2020,41.0,32,8,511,65,21.29,422,121.09,0,2,4,55,11,
"(Kings XI Punjab, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
OA Shah,2010-2013,23.0,22,7,506,76,33.73,389,130.07,0,4,0,34,23,
"(Kochi Tuskers Kerala, Kolkata Knight Riders, Rajasthan Royals)",,,,,,,,,,,,,,,
PC Valthaty,2009-2013,23.0,23,1,505,120*,22.95,418,120.81,1,2,1,60,20,
"(Kings XI Punjab, Rajasthan Royals)",,,,,,,,,,,,,,,
SW Billings,2016-2022,30.0,27,1,503,56,19.34,388,129.63,0,3,3,40,20,
"(Chennai Super Kings, Delhi Daredevils, Kolkata Knight Riders)",,,,,,,,,,,,,,,
RR Rossouw,2014-2024,22.0,22,2,473,82*,23.65,308,153.57,0,2,4,45,25,
"(Delhi Capitals, Punjab Kings, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
DT Christian,2011-2021,49.0,41,10,460,39,14.83,398,115.57,0,0,2,23,19,
"(Deccan Chargers, Delhi Daredevils, Rising Pune Supergiant, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
K Nitish Kumar Reddy,2023-2025,24.0,19,3,455,76*,28.43,346,131.50,0,2,1,29,23,
(Sunrisers Hyderabad),,,,,,,,,,,,,,,
Washington Sundar,2017-2025,64.0,43,12,442,49,14.25,365,121.09,0,0,3,37,12,
"(Gujarat Titans, Rising Pune Supergiant, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
SA Asnodkar,2008-2011,20.0,20,0,423,60,21.15,339,124.77,0,2,3,56,10,
(Rajasthan Royals),,,,,,,,,,,,,,,
NLTC Perera,2010-2016,37.0,30,8,422,40,19.18,307,137.45,0,0,1,23,26,
"(Chennai Super Kings, Kings XI Punjab, Kochi Tuskers Kerala, Mumbai Indians, Rising Pune Supergiants, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
JR Hopes,2008-2011,21.0,19,3,417,71,26.06,306,136.27,0,4,1,49,11,
"(Delhi Daredevils, Kings XI Punjab)",,,,,,,,,,,,,,,
R Ravindra,2024-2025,18.0,18,1,413,65*,24.29,287,143.90,0,2,2,40,16,
(Chennai Super Kings),,,,,,,,,,,,,,,
J Botha,2009-2015,34.0,28,8,409,67*,20.45,359,113.92,0,1,0,39,5,
"(Delhi Daredevils, Kolkata Knight Riders, Rajasthan Royals)",,,,,,,,,,,,,,,
LR Shukla,2008-2014,47.0,34,7,405,48*,15.00,350,115.71,0,0,3,33,15,
"(Delhi Daredevils, Kolkata Knight Riders)",,,,,,,,,,,,,,,
A Raghuvanshi,2024-2025,19.0,15,2,404,54,31.07,269,150.18,0,2,0,40,16,
(Kolkata Knight Riders),,,,,,,,,,,,,,,
AL Menaria,2011-2013,29.0,23,2,401,40,19.09,356,112.64,0,0,1,24,18,
(Rajasthan Royals),,,,,,,,,,,,,,,
MV Boucher,2008-2011,31.0,24,10,394,50*,28.14,309,127.50,0,1,0,32,13,
"(Kolkata Knight Riders, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
CA Pujara,2010-2014,30.0,22,3,390,51,20.52,391,99.74,0,1,1,50,4,
"(Kings XI Punjab, Kolkata Knight Riders, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
Azhar Mahmood,2012-2015,23.0,21,2,388,80,20.42,303,128.05,0,2,2,39,13,
"(Kings XI Punjab, Kolkata Knight Riders)",,,,,,,,,,,,,,,
J Fraser-McGurk,2024-2025,15.0,15,0,385,84,25.66,193,199.48,0,4,3,39,30,
(Delhi Capitals),,,,,,,,,,,,,,,
A Mishra,2008-2024,162.0,57,25,381,31,11.90,419,90.93,0,0,10,31,5,
"(Deccan Chargers, Delhi Capitals, Delhi Daredevils, Lucknow Super Giants, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
KR Mayers,2023-2023,13.0,13,0,379,73,29.15,263,144.10,0,4,2,38,22,
(Lucknow Super Giants),,,,,,,,,,,,,,,
DB Ravi Teja,2008-2013,32.0,25,6,375,60,19.73,317,118.29,0,1,1,35,9,
"(Deccan Chargers, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
WG Jacks,2024-2025,17.0,16,2,372,100*,26.57,247,150.60,1,1,0,28,24,
"(Mumbai Indians, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
S Sohal,2008-2011,22.0,20,0,368,62,18.40,292,126.02,0,2,3,34,18,
"(Deccan Chargers, Kings XI Punjab)",,,,,,,,,,,,,,,
Pawan Negi,2012-2019,50.0,35,9,365,36,14.03,289,126.29,0,0,3,27,16,
"(Chennai Super Kings, Delhi Daredevils, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
R Powell,2022-2025,28.0,23,3,365,67*,18.25,249,146.58,0,1,2,22,28,
"(Delhi Capitals, Kolkata Knight Riders, Rajasthan Royals)",,,,,,,,,,,,,,,
DJ Mitchell,2022-2024,15.0,15,2,351,63,27.00,267,131.46,0,2,0,28,10,
"(Chennai Super Kings, Rajasthan Royals)",,,,,,,,,,,,,,,
KV Sharma,2009-2025,87.0,40,14,351,39*,13.50,294,119.38,0,0,1,20,17,
"(Chennai Super Kings, Mumbai Indians, Royal Challengers Bangalore, Royal Challengers Bengaluru, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
P Arya,2025-2025,10.0,10,0,346,103,34.60,176,196.59,1,1,1,37,22,
(Punjab Kings),,,,,,,,,,,,,,,
R Bhatia,2008-2017,95.0,49,19,342,26*,11.40,284,120.42,0,0,3,24,13,
"(Delhi Daredevils, Kolkata Knight Riders, Rajasthan Royals, Rising Pune Supergiant, Rising Pune Supergiants)",,,,,,,,,,,,,,,
P Kumar,2008-2017,119.0,59,21,340,34,8.94,314,108.28,0,0,9,22,17,
"(Gujarat Lions, Kings XI Punjab, Mumbai Indians, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
AP Tare,2010-2017,35.0,28,4,339,59,14.12,273,124.17,0,1,5,40,11,
"(Delhi Daredevils, Mumbai Indians, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
AR Sharma,2024-2025,20.0,16,4,334,66*,27.83,198,168.68,0,2,0,21,24,
"(Delhi Capitals, Punjab Kings)",,,,,,,,,,,,,,,
JEC Franklin,2011-2012,20.0,16,5,327,79,29.72,301,108.63,0,1,0,25,8,
(Mumbai Indians),,,,,,,,,,,,,,,
RN ten Doeschate,2011-2015,29.0,22,8,326,70*,23.28,235,138.72,0,1,3,26,15,
(Kolkata Knight Riders),,,,,,,,,,,,,,,
SN Thakur,2015-2025,104.0,41,14,321,68,11.88,232,138.36,0,1,8,29,13,
"(Chennai Super Kings, Delhi Capitals, Kings XI Punjab, Kolkata Knight Riders, Lucknow Super Giants, Rising Pune Supergiant)",,,,,,,,,,,,,,,
Anuj Rawat,2021-2024,24.0,21,5,318,66,19.87,267,119.10,0,1,4,26,14,
"(Rajasthan Royals, Royal Challengers Bangalore, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
Rahmanullah Gurbaz,2023-2025,16.0,16,1,317,81,21.13,235,134.89,0,2,2,29,20,
(Kolkata Knight Riders),,,,,,,,,,,,,,,
Bhuvneshwar Kumar,2011-2025,185.0,72,36,316,27,8.77,347,91.06,0,0,6,31,3,
"(Pune Warriors, Royal Challengers Bengaluru, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
R Vinay Kumar,2008-2018,104.0,46,18,310,26*,11.07,274,113.13,0,0,4,21,9,
"(Kochi Tuskers Kerala, Kolkata Knight Riders, Mumbai Indians, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
SE Rutherford,2019-2025,18.0,16,4,307,46,25.58,233,131.75,0,0,0,18,21,
"(Delhi Capitals, Gujarat Titans, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
Lalit Yadav,2021-2024,27.0,21,5,305,48*,19.06,290,105.17,0,0,1,27,7,
(Delhi Capitals),,,,,,,,,,,,,,,
D Brevis,2022-2025,12.0,12,0,304,49,25.33,223,136.32,0,0,1,20,21,
"(Chennai Super Kings, Mumbai Indians)",,,,,,,,,,,,,,,
DB Das,2008-2013,31.0,22,8,304,35*,21.71,261,116.47,0,0,1,23,16,
(Kolkata Knight Riders),,,,,,,,,,,,,,,
C de Grandhomme,2017-2019,25.0,21,5,303,40,18.93,225,134.66,0,0,3,18,18,
"(Kolkata Knight Riders, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
LA Pomersbach,2008-2013,17.0,16,5,302,79*,27.45,246,122.76,0,1,0,25,13,
"(Kings XI Punjab, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
UBT Chand,2011-2016,21.0,20,0,300,58,15.00,300,100.00,0,1,4,32,9,
"(Delhi Daredevils, Mumbai Indians, Rajasthan Royals)",,,,,,,,,,,,,,,
Naman Dhir,2024-2025,17.0,14,4,295,62*,29.50,163,180.98,0,1,3,26,18,
(Mumbai Indians),,,,,,,,,,,,,,,
DJG Sammy,2013-2015,22.0,20,5,295,60,19.66,241,122.40,0,1,2,15,18,
"(Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
SP Goswami,2008-2020,31.0,21,1,293,52,14.65,295,99.32,0,1,4,32,3,
"(Kolkata Knight Riders, Rajasthan Royals, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
Y Nagar,2009-2012,26.0,20,6,285,44*,20.35,259,110.03,0,0,2,20,9,
(Delhi Daredevils),,,,,,,,,,,,,,,
GH Vihari,2013-2019,24.0,23,3,284,46,14.20,321,88.47,0,0,0,23,1,
"(Delhi Capitals, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
VVS Laxman,2008-2011,20.0,20,2,282,52,15.66,267,105.61,0,1,4,33,5,
"(Deccan Chargers, Kochi Tuskers Kerala)",,,,,,,,,,,,,,,
A Ashish Reddy,2012-2016,31.0,23,8,280,36*,18.66,193,145.07,0,0,0,17,14,
"(Deccan Chargers, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
B Chipli,2008-2013,23.0,21,6,280,61*,18.66,251,111.55,0,1,0,28,7,
"(Deccan Chargers, Delhi Daredevils, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
A Manohar,2022-2025,24.0,19,1,280,43,15.55,224,125.00,0,0,2,23,13,
"(Gujarat Titans, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
MJ Lumb,2010-2011,12.0,12,0,278,83,23.16,194,143.29,0,1,3,45,6,
"(Deccan Chargers, Rajasthan Royals)",,,,,,,,,,,,,,,
PBB Rajapaksa,2022-2023,13.0,13,1,277,50,23.08,191,145.02,0,1,1,22,15,
(Punjab Kings),,,,,,,,,,,,,,,
PK Garg,2020-2023,23.0,19,1,273,51*,15.16,241,113.27,0,1,2,16,9,
"(Delhi Capitals, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
RD Rickelton,2025-2025,10.0,10,1,273,62*,30.33,179,152.51,0,2,0,35,12,
(Mumbai Indians),,,,,,,,,,,,,,,
MJ Guptill,2016-2019,13.0,13,1,270,50*,22.50,196,137.75,0,1,1,24,15,
"(Kings XI Punjab, Mumbai Indians, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
HV Patel,2012-2025,113.0,46,17,270,36*,9.31,229,117.90,0,0,9,16,15,
"(Delhi Capitals, Delhi Daredevils, Punjab Kings, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
R Sathish,2010-2016,34.0,25,8,270,27*,15.88,231,116.88,0,0,2,22,6,
"(Kings XI Punjab, Kolkata Knight Riders, Mumbai Indians)",,,,,,,,,,,,,,,
JO Holder,2013-2023,46.0,27,6,259,47*,12.33,211,122.74,0,0,2,13,18,
"(Chennai Super Kings, Kolkata Knight Riders, Lucknow Super Giants, Rajasthan Royals, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
M Kaif,2008-2012,29.0,22,4,259,34*,14.38,250,103.60,0,0,0,22,6,
"(Kings XI Punjab, Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
K Gowtham,2018-2024,36.0,27,9,247,33*,13.72,148,166.89,0,0,2,15,17,
"(Kings XI Punjab, Lucknow Super Giants, Rajasthan Royals)",,,,,,,,,,,,,,,
A Taide,2023-2024,9.0,9,0,247,66,27.44,168,147.02,0,2,1,27,8,
(Punjab Kings),,,,,,,,,,,,,,,
SM Katich,2008-2009,11.0,11,1,241,75,24.10,186,129.56,0,2,1,25,8,
(Kings XI Punjab),,,,,,,,,,,,,,,
Ben Cutting,2014-2019,21.0,17,6,238,39*,21.63,141,168.79,0,0,1,15,19,
"(Mumbai Indians, Rajasthan Royals, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
MD Mishra,2010-2012,18.0,17,1,237,41,14.81,208,113.94,0,0,1,24,8,
"(Deccan Chargers, Pune Warriors)",,,,,,,,,,,,,,,
Harpreet Brar,2019-2025,45.0,24,13,233,29,21.18,190,122.63,0,0,1,19,9,
"(Kings XI Punjab, Punjab Kings)",,,,,,,,,,,,,,,
JC Archer,2018-2025,50.0,30,13,220,27*,12.94,143,153.84,0,0,5,11,16,
"(Mumbai Indians, Rajasthan Royals)",,,,,,,,,,,,,,,
K Goel,2008-2010,22.0,17,2,218,38,14.53,231,94.37,0,0,2,17,9,
(Kings XI Punjab),,,,,,,,,,,,,,,
AA Jhunjhunwala,2010-2012,21.0,16,3,217,53*,16.69,210,103.33,0,1,1,19,5,
"(Deccan Chargers, Pune Warriors, Rajasthan Royals)",,,,,,,,,,,,,,,
Mohammad Nabi,2017-2024,24.0,19,3,215,31,13.43,150,143.33,0,0,1,18,11,
"(Mumbai Indians, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
K Rabada,2017-2025,82.0,32,15,213,44,12.52,198,107.57,0,0,4,16,9,
"(Delhi Capitals, Delhi Daredevils, Gujarat Titans, Punjab Kings)",,,,,,,,,,,,,,,
R Dhawan,2013-2024,39.0,24,13,210,25*,19.09,187,112.29,0,0,1,18,7,
"(Kings XI Punjab, Mumbai Indians, Punjab Kings)",,,,,,,,,,,,,,,
UT Yadav,2010-2024,148.0,52,31,208,24*,9.90,201,103.48,0,0,8,16,9,
"(Delhi Daredevils, Gujarat Titans, Kolkata Knight Riders, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
CA Ingram,2011-2019,15.0,15,3,205,47,17.08,180,113.88,0,0,0,22,5,
"(Delhi Capitals, Delhi Daredevils)",,,,,,,,,,,,,,,
PD Collingwood,2010-2010,8.0,7,2,203,75*,40.60,156,130.12,0,3,0,9,13,
(Delhi Daredevils),,,,,,,,,,,,,,,
Ramandeep Singh,2022-2025,27.0,18,8,200,35,20.00,128,156.25,0,0,1,9,15,
"(Kolkata Knight Riders, Mumbai Indians)",,,,,,,,,,,,,,,
KS Bharat,2021-2022,10.0,9,2,199,78*,28.42,163,122.08,0,1,1,12,8,
"(Delhi Capitals, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
SK Warne,2008-2011,55.0,29,9,198,34*,9.90,214,92.52,0,0,7,14,6,
(Rajasthan Royals),,,,,,,,,,,,,,,
JD Unadkat,2010-2025,108.0,32,16,197,26,12.31,166,118.67,0,0,2,16,7,
"(Delhi Daredevils, Kolkata Knight Riders, Lucknow Super Giants, Mumbai Indians, Rajasthan Royals, Rising Pune Supergiant, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
SP Fleming,2008-2008,10.0,10,1,196,45,21.77,165,118.78,0,0,1,27,3,
(Chennai Super Kings),,,,,,,,,,,,,,,
Kuldeep Yadav,2016-2025,94.0,37,23,194,35*,13.85,224,86.60,0,0,5,18,3,
"(Delhi Capitals, Kolkata Knight Riders)",,,,,,,,,,,,,,,
AS Raut,2009-2011,22.0,16,7,194,36*,21.55,167,116.16,0,0,1,13,7,
(Rajasthan Royals),,,,,,,,,,,,,,,
BJ Rohrer,2013-2013,8.0,8,2,193,64*,32.16,140,137.85,0,1,0,21,5,
(Delhi Daredevils),,,,,,,,,,,,,,,
Salman Butt,2008-2008,7.0,7,0,193,73,27.57,161,119.87,0,1,0,30,2,
(Kolkata Knight Riders),,,,,,,,,,,,,,,
YV Takawale,2008-2014,16.0,10,2,192,45,24.00,178,107.86,0,0,2,26,3,
"(Mumbai Indians, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
HC Brook,2023-2023,11.0,11,2,190,100*,21.11,154,123.37,1,0,3,23,4,
(Sunrisers Hyderabad),,,,,,,,,,,,,,,
AU Verma,2025-2025,9.0,8,1,190,74,27.14,118,161.01,0,1,0,9,16,
(Sunrisers Hyderabad),,,,,,,,,,,,,,,
Bipul Sharma,2010-2017,33.0,17,9,187,35*,23.37,123,152.03,0,0,0,11,9,
"(Kings XI Punjab, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
FY Fazal,2010-2011,12.0,11,1,183,45,18.30,173,105.78,0,0,1,22,1,
(Rajasthan Royals),,,,,,,,,,,,,,,
SD Hope,2024-2024,9.0,9,1,183,41,22.87,122,150.00,0,0,0,12,12,
(Delhi Capitals),,,,,,,,,,,,,,,
MS Wade,2011-2024,15.0,14,0,183,35,13.07,177,103.38,0,0,0,23,2,
"(Delhi Daredevils, Gujarat Titans)",,,,,,,,,,,,,,,
Sikandar Raza,2023-2024,9.0,9,2,182,57,26.00,136,133.82,0,1,0,12,8,
(Punjab Kings),,,,,,,,,,,,,,,
CR Brathwaite,2016-2019,16.0,14,1,181,43*,13.92,111,163.06,0,0,0,10,16,
"(Delhi Daredevils, Kolkata Knight Riders, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
AC Voges,2010-2010,9.0,7,3,181,45*,45.25,143,126.57,0,0,0,15,3,
(Rajasthan Royals),,,,,,,,,,,,,,,
S Gopal,2014-2024,52.0,22,8,180,24,12.85,169,106.50,0,0,4,19,2,
"(Mumbai Indians, Rajasthan Royals, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
AB Agarkar,2008-2013,42.0,22,12,179,39,17.90,154,116.23,0,0,1,13,5,
"(Delhi Daredevils, Kolkata Knight Riders)",,,,,,,,,,,,,,,
MF Maharoof,2008-2010,20.0,14,4,177,39,17.70,123,143.90,0,0,2,12,9,
(Delhi Daredevils),,,,,,,,,,,,,,,
C Munro,2016-2019,13.0,12,0,177,40,14.75,141,125.53,0,0,2,19,8,
"(Delhi Capitals, Delhi Daredevils, Kolkata Knight Riders)",,,,,,,,,,,,,,,
DH Yagnik,2011-2014,25.0,17,7,170,34,17.00,137,124.08,0,0,1,23,2,
(Rajasthan Royals),,,,,,,,,,,,,,,
CM Gautam,2013-2015,13.0,13,3,169,33,16.90,150,112.66,0,0,0,17,6,
"(Delhi Daredevils, Mumbai Indians)",,,,,,,,,,,,,,,
Mitchell Johnson,2013-2018,54.0,30,17,167,16*,12.84,164,101.82,0,0,2,10,7,
"(Kings XI Punjab, Kolkata Knight Riders, Mumbai Indians)",,,,,,,,,,,,,,,
DW Steyn,2008-2020,95.0,37,15,167,19*,7.59,160,104.37,0,0,5,14,3,
"(Deccan Chargers, Gujarat Lions, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
MN van Wyk,2009-2009,5.0,5,2,167,74,55.66,132,126.51,0,1,1,19,1,
(Kolkata Knight Riders),,,,,,,,,,,,,,,
PA Reddy,2012-2013,12.0,11,1,164,42,16.40,160,102.50,0,0,0,15,2,
"(Deccan Chargers, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
N Jagadeesan,2020-2023,13.0,10,1,162,39*,18.00,147,110.20,0,0,2,21,2,
"(Chennai Super Kings, Kolkata Knight Riders)",,,,,,,,,,,,,,,
MN Samuels,2012-2017,15.0,14,1,161,46,12.38,172,93.60,0,0,1,9,7,
"(Delhi Daredevils, Pune Warriors)",,,,,,,,,,,,,,,
R McLaren,2010-2013,18.0,13,5,159,51*,19.87,171,92.98,0,1,1,14,1,
"(Kings XI Punjab, Kolkata Knight Riders, Mumbai Indians)",,,,,,,,,,,,,,,
RE van der Merwe,2009-2013,21.0,15,4,159,35,14.45,141,112.76,0,0,0,11,8,
"(Delhi Daredevils, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
V Suryavanshi,2025-2025,3.0,3,0,151,101,50.33,70,215.71,1,0,0,9,16,
(Rajasthan Royals),,,,,,,,,,,,,,,
AD Hales,2018-2018,6.0,6,0,148,45,24.66,118,125.42,0,0,0,13,6,
(Sunrisers Hyderabad),,,,,,,,,,,,,,,
D Wiese,2015-2023,18.0,11,6,148,47*,29.60,101,146.53,0,0,0,12,7,
"(Kolkata Knight Riders, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
SM Pollock,2008-2008,13.0,8,0,147,33,18.37,111,132.43,0,0,2,12,8,
(Mumbai Indians),,,,,,,,,,,,,,,
S Vidyut,2008-2008,9.0,8,0,145,54,18.12,109,133.02,0,1,1,21,3,
(Chennai Super Kings),,,,,,,,,,,,,,,
Sachin Baby,2013-2021,19.0,11,2,144,33,16.00,118,122.03,0,0,1,11,5,
"(Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
M Jansen,2021-2025,31.0,20,10,141,34*,14.10,127,111.02,0,0,2,8,6,
"(Mumbai Indians, Punjab Kings, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
N Saini,2012-2012,10.0,10,0,140,50,14.00,141,99.29,0,1,0,16,0,
(Kings XI Punjab),,,,,,,,,,,,,,,
Anmolpreet Singh,2021-2024,9.0,9,0,139,36,15.44,115,120.86,0,0,1,19,3,
"(Mumbai Indians, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
S Anirudha,2008-2014,20.0,13,5,136,64,17.00,113,120.35,0,1,2,9,7,
"(Chennai Super Kings, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
SB Styris,2008-2011,12.0,10,3,131,36*,18.71,133,98.49,0,0,0,10,3,
"(Chennai Super Kings, Deccan Chargers)",,,,,,,,,,,,,,,
W Jaffer,2008-2009,8.0,8,0,130,50,16.25,121,107.43,0,1,1,14,3,
(Royal Challengers Bangalore),,,,,,,,,,,,,,,
RD Chahar,2017-2025,79.0,24,8,129,25*,8.06,124,104.03,0,0,8,13,5,
"(Mumbai Indians, Punjab Kings, Rising Pune Supergiant, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
Kamran Akmal,2008-2008,6.0,6,1,128,53*,25.60,78,164.10,0,1,0,13,8,
(Rajasthan Royals),,,,,,,,,,,,,,,
TK Curran,2018-2021,13.0,10,5,127,54*,25.40,107,118.69,0,1,0,10,3,
"(Delhi Capitals, Kolkata Knight Riders, Rajasthan Royals)",,,,,,,,,,,,,,,
P Dogra,2010-2013,13.0,12,1,127,41,11.54,138,92.02,0,0,1,4,5,
"(Kings XI Punjab, Kolkata Knight Riders, Rajasthan Royals)",,,,,,,,,,,,,,,
UT Khawaja,2016-2016,6.0,6,0,127,30,21.16,100,127.00,0,0,0,14,3,
(Rising Pune Supergiants),,,,,,,,,,,,,,,
M Morkel,2009-2016,70.0,23,12,126,23*,11.45,90,140.00,0,0,5,11,4,
"(Delhi Daredevils, Kolkata Knight Riders, Rajasthan Royals)",,,,,,,,,,,,,,,
SS Prabhudessai,2022-2024,11.0,10,0,126,34,12.60,106,118.86,0,0,1,11,4,
"(Royal Challengers Bangalore, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
MC Juneja,2013-2013,7.0,7,0,125,49,17.85,128,97.65,0,0,0,11,1,
(Delhi Daredevils),,,,,,,,,,,,,,,
BB Samantray,2012-2013,9.0,8,3,125,55,25.00,113,110.61,0,1,1,13,2,
"(Deccan Chargers, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
MM Sharma,2013-2025,119.0,33,15,125,21*,6.94,136,91.91,0,0,5,8,4,
"(Chennai Super Kings, Delhi Capitals, Gujarat Titans, Kings XI Punjab)",,,,,,,,,,,,,,,
B Lee,2008-2013,38.0,19,9,124,25,12.40,97,127.83,0,0,1,8,8,
"(Kings XI Punjab, Kolkata Knight Riders)",,,,,,,,,,,,,,,
Harpreet Singh,2010-2024,9.0,8,1,123,41,17.57,119,103.36,0,0,0,10,3,
"(Kolkata Knight Riders, Pune Warriors, Punjab Kings)",,,,,,,,,,,,,,,
AB McDonald,2009-2013,10.0,9,4,123,33*,24.60,100,123.00,0,0,1,9,4,
"(Delhi Daredevils, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
NK Patel,2008-2009,9.0,6,2,121,57,30.25,119,101.68,0,1,0,14,1,
(Rajasthan Royals),,,,,,,,,,,,,,,
DL Vettori,2008-2012,34.0,17,9,121,29,15.12,113,107.07,0,0,1,11,2,
"(Delhi Daredevils, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
AC Blizzard,2011-2012,7.0,7,0,120,51,17.14,90,133.33,0,1,1,21,2,
(Mumbai Indians),,,,,,,,,,,,,,,
TG Southee,2011-2023,53.0,20,7,120,36*,9.23,107,112.14,0,0,3,8,4,
"(Chennai Super Kings, Kolkata Knight Riders, Mumbai Indians, Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
RJ Harris,2009-2013,37.0,21,9,117,17,9.75,112,104.46,0,0,2,6,3,
"(Deccan Chargers, Kings XI Punjab)",,,,,,,,,,,,,,,
Z Khan,2008-2017,99.0,32,18,117,23*,8.35,141,82.97,0,0,5,11,2,
"(Delhi Daredevils, Mumbai Indians, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
Misbah-ul-Haq,2008-2008,8.0,8,1,117,47*,16.71,81,144.44,0,0,2,10,6,
(Royal Challengers Bangalore),,,,,,,,,,,,,,,
