Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Unnamed: 14
SB Joshi,2008-2008,4,4,9.1,0,82,1,Jan-27,82,8.94,55,0,0,
,,,,,,,,,,,,,,
MK Lomror,2018-2024,40,11,15,0,127,1,Jan-22,127,8.46,90,0,0,
,,,,,,,,,,,,,,
CJ McKay,2012-2012,2,2,7,0,60,1,Jan-36,60,8.57,42,0,0,
,,,,,,,,,,,,,,
SSB Magala,2023-2023,2,2,6,0,51,1,Jan-37,51,8.5,36,0,0,
,,,,,,,,,,,,,,
KT Maphaka,2024-2024,2,2,6,0,89,1,Jan-23,89,14.83,36,0,0,
,,,,,,,,,,,,,,
BMAJ Mendis,2013-2013,3,2,5,0,36,1,Jan-16,36,7.2,30,0,0,
,,,,,,,,,,,,,,
LI Meriwala,2021-2021,1,1,3,0,32,1,Jan-32,32,10.66,18,0,0,
,,,,,,,,,,,,,,
DJ Mitchell,2022-2024,15,4,8,0,97,1,Jan-18,97,12.12,48,0,0,
,,,,,,,,,,,,,,
RG More,2015-2015,2,2,5.5,0,59,1,Jan-31,59,10.11,35,0,0,
,,,,,,,,,,,,,,
SS Mundhe,2011-2011,1,1,1,0,6,1,01-Jun,6,6,6,0,0,
,,,,,,,,,,,,,,
GR Napier,2009-2009,1,1,4,0,27,1,Jan-27,27,6.75,24,0,0,
,,,,,,,,,,,,,,
A Nel,2008-2008,1,1,3,0,31,1,Jan-31,31,10.33,18,0,0,
,,,,,,,,,,,,,,
AA Noffke,2008-2008,1,1,4,0,40,1,Jan-40,40,10,24,0,0,
,,,,,,,,,,,,,,
IC Porel,2021-2021,1,1,4,0,39,1,Jan-39,39,9.75,24,0,0,
,,,,,,,,,,,,,,
Romen Powell,2022-2025,28,2,3,0,35,1,Jan-18,35,11.66,18,0,0,
,,,,,,,,,,,,,,
Y Prithvi Raj,2019-2019,2,2,5,0,57,1,Jan-29,57,11.4,30,0,0,
,,,,,,,,,,,,,,
Ajinkya Rahane,2008-2025,195,1,1,0,5,1,01-May,5,5,6,0,0,
,,,,,,,,,,,,,,
Satyanarayana Raju,2025-2025,2,2,4,0,53,1,Jan-40,53,13.25,24,0,0,
,,,,,,,,,,,,,,
DB Ravi Teja,2008-2013,32,2,3,0,28,1,Jan-19,28,9.33,18,0,0,
,,,,,,,,,,,,,,
Sherfane Rutherford,2019-2025,18,6,6.5,0,59,1,01-Jun,59,8.63,41,0,0,
,,,,,,,,,,,,,,
D Salunkhe,2008-2008,6,5,8,0,78,1,Jan-21,78,9.75,48,0,0,
,,,,,,,,,,,,,,
GS Sandhu,2015-2015,3,2,8,0,82,1,Jan-33,82,10.25,48,0,0,
,,,,,,,,,,,,,,
SS Sarkar,2009-2009,2,2,4.1,0,34,1,Jan-15,34,8.16,25,0,0,
,,,,,,,,,,,,,,
PM Sarvesh Kumar,2008-2008,2,2,5,0,42,1,Jan-18,42,8.4,30,0,0,
,,,,,,,,,,,,,,
Shashank Singh,2022-2025,34,4,5,0,52,1,01-May,52,10.4,30,0,0,
,,,,,,,,,,,,,,
DJM Short,2018-2018,7,2,3,0,19,1,01-Oct,19,6.33,18,0,0,
,,,,,,,,,,,,,,
LMP Simmons,2014-2017,29,1,3,0,34,1,Jan-34,34,11.33,18,0,0,
,,,,,,,,,,,,,,
NB Singh,2017-2017,2,2,4,0,15,1,01-Jul,15,3.75,24,0,0,
,,,,,,,,,,,,,,
TP Sudhindra,2012-2012,3,3,11.4,0,136,1,Jan-46,136,11.65,70,0,0,
,,,,,,,,,,,,,,
MK Tiwary,2008-2018,98,6,7,0,83,1,01-Nov,83,11.85,42,0,0,
,,,,,,,,,,,,,,
S Vidyut,2008-2008,9,1,2,0,22,1,Jan-22,22,11,12,0,0,
,,,,,,,,,,,,,,
GH Vihari,2013-2019,24,6,7,0,47,1,01-May,47,6.71,42,0,0,
,,,,,,,,,,,,,,
V Viyaskanth,2024-2024,3,3,10,0,86,1,Jan-37,86,8.6,60,0,0,
,,,,,,,,,,,,,,
CL White,2008-2013,47,6,7,0,86,1,Jan-14,86,12.28,42,0,0,
,,,,,,,,,,,,,,
LB Williams,2024-2024,2,2,6,0,72,1,Jan-38,72,12,36,0,0,
,,,,,,,,,,,,,,
L Wood,2024-2024,2,2,6,0,93,1,Jan-68,93,15.5,36,0,0,
,,,,,,,,,,,,,,
Abdur Razzak,2008-2008,1,1,2,0,29,0,-,-,14.5,-,0,0,
,,,,,,,,,,,,,,
Aman Hakim Khan,2022-2023,12,1,1,0,13,0,-,-,13,-,0,0,
,,,,,,,,,,,,,,
RR Bhatkal,2012-2012,1,1,2,0,35,0,-,-,17.5,-,0,0,
,,,,,,,,,,,,,,
RR Bose,2009-2009,1,1,2,0,24,0,-,-,12,-,0,0,
,,,,,,,,,,,,,,
B Chipli,2008-2013,23,1,1,0,20,0,-,-,20,-,0,0,
,,,,,,,,,,,,,,
CJ Dala,2018-2018,1,1,3,0,34,0,-,-,11.33,-,0,0,
,,,,,,,,,,,,,,
A Dananjaya,2018-2018,1,1,4,0,47,0,-,-,11.75,-,0,0,
,,,,,,,,,,,,,,
Faf du Plessis,2012-2025,149,1,1,0,16,0,-,-,16,-,0,0,
,,,,,,,,,,,,,,
FY Fazal,2010-2011,12,2,2,0,20,0,-,-,10,-,0,0,
,,,,,,,,,,,,,,
C Ganapathy,2010-2010,1,1,1,0,13,0,-,-,13,-,0,0,
,,,,,,,,,,,,,,
RS Gavaskar,2010-2010,2,1,1,0,8,0,-,-,8,-,0,0,
,,,,,,,,,,,,,,
Y Gnaneswara Rao,2011-2011,2,1,1,0,7,0,-,-,7,-,0,0,
,,,,,,,,,,,,,,
K Goel,2008-2010,22,6,11,0,93,0,-,-,8.45,-,0,0,
,,,,,,,,,,,,,,
R Goyal,2023-2023,1,1,4,0,33,0,-,-,8.25,-,0,0,
,,,,,,,,,,,,,,
CJ Green,2020-2020,1,1,2.5,0,24,0,-,-,8.47,-,0,0,
,,,,,,,,,,,,,,
Gulbadin Naib,2024-2024,2,1,1,0,12,0,-,-,12,-,0,0,
,,,,,,,,,,,,,,
Sunny Gupta,2012-2012,1,1,3,0,47,0,-,-,15.66,-,0,0,
,,,,,,,,,,,,,,
Gurnoor Brar,2023-2023,1,1,3,0,42,0,-,-,14,-,0,0,
,,,,,,,,,,,,,,
DJ Harris,2012-2012,4,2,3,0,26,0,-,-,8.66,-,0,0,
,,,,,,,,,,,,,,
Ishan Kishan,2016-2025,114,1,0.1,0,4,0,-,-,24,-,0,0,
,,,,,,,,,,,,,,
Shreyas Iyer,2015-2025,125,1,1,0,7,0,-,-,7,-,0,0,
,,,,,,,,,,,,,,
Yashasvi Jaiswal,2020-2025,62,1,0.1,0,6,0,-,-,36,-,0,0,
,,,,,,,,,,,,,,
S Joseph,2024-2024,1,1,4,0,47,0,-,-,11.75,-,0,0,
,,,,,,,,,,,,,,
CK Kapugedera,2008-2008,5,3,2.5,0,49,0,-,-,17.29,-,0,0,
,,,,,,,,,,,,,,
Karim Janat,2025-2025,1,1,1,0,30,0,-,-,30,-,0,0,
,,,,,,,,,,,,,,
AA Kazi,2011-2011,1,1,2,0,21,0,-,-,10.5,-,0,0,
,,,,,,,,,,,,,,
SN Khan,2015-2023,49,1,0.2,0,6,0,-,-,18,-,0,0,
,,,,,,,,,,,,,,
NL McCullum,2011-2011,2,2,5,0,34,0,-,-,6.8,-,0,0,
,,,,,,,,,,,,,,
I Malhotra,2011-2011,1,1,1,0,23,0,-,-,23,-,0,0,
,,,,,,,,,,,,,,
Mandeep Singh,2010-2023,110,2,2,0,26,0,-,-,13,-,0,0,
,,,,,,,,,,,,,,
M Manhas,2008-2014,55,3,7,0,42,0,-,-,6,-,0,0,
,,,,,,,,,,,,,,
Mashrafe Mortaza,2009-2009,1,1,4,0,58,0,-,-,14.5,-,0,0,
,,,,,,,,,,,,,,
KR Mayers,2023-2023,12,6,7,0,59,0,-,-,8.42,-,0,0,
,,,,,,,,,,,,,,
S Midhun,2019-2019,1,1,2,0,27,0,-,-,13.5,-,0,0,
,,,,,,,,,,,,,,
Mohit Rathee,2023-2023,1,1,2,0,29,0,-,-,14.5,-,0,0,
,,,,,,,,,,,,,,
Monu Kumar,2020-2020,1,1,2,0,20,0,-,-,10,-,0,0,
,,,,,,,,,,,,,,
SZ Mulani,2024-2024,2,2,5,0,57,0,-,-,11.4,-,0,0,
,,,,,,,,,,,,,,
Waieen Mulder,2025-2025,1,1,1,0,16,0,-,-,16,-,0,0,
,,,,,,,,,,,,,,
C Munro,2016-2019,13,2,2,0,15,0,-,-,7.5,-,0,0,
,,,,,,,,,,,,,,
Naman Dhir,2024-2025,17,4,7.4,0,67,0,-,-,8.73,-,0,0,
,,,,,,,,,,,,,,
MG Neser,2013-2013,1,1,4,0,62,0,-,-,15.5,-,0,0,
,,,,,,,,,,,,,,
Jamie Overton,2025-2025,3,3,6,0,83,0,-,-,13.83,-,0,0,
,,,,,,,,,,,,,,
MB Parmar,2010-2010,1,1,3,0,33,0,-,-,11,-,0,0,
,,,,,,,,,,,,,,
RV Patel,2021-2023,9,1,3,0,22,0,-,-,7.33,-,0,0,
,,,,,,,,,,,,,,
AUK Pathan,2011-2012,8,3,6.3,0,63,0,-,-,9.69,-,0,0,
,,,,,,,,,,,,,,
P Prasanth,2011-2011,1,1,1,0,18,0,-,-,18,-,0,0,
,,,,,,,,,,,,,,
RW Price,2011-2011,1,1,3,0,33,0,-,-,11,-,0,0,
,,,,,,,,,,,,,,
S Rana,2011-2014,11,3,2.4,0,18,0,-,-,6.75,-,0,0,
,,,,,,,,,,,,,,
AS Raut,2009-2011,22,5,5,0,44,0,-,-,8.8,-,0,0,
,,,,,,,,,,,,,,
Rachin Ravindra,2024-2025,18,2,2,0,7,0,-,-,3.5,-,0,0,
,,,,,,,,,,,,,,
P Ray Barman,2019-2019,1,1,4,0,56,0,-,-,14,-,0,0,
,,,,,,,,,,,,,,
NJ Rimmington,2011-2011,1,1,3,0,19,0,-,-,6.33,-,0,0,
,,,,,,,,,,,,,,
KAJ Roach,2010-2010,2,2,8,0,80,0,-,-,10,-,0,0,
,,,,,,,,,,,,,,
BJ Rohrer,2013-2013,8,1,1,0,12,0,-,-,12,-,0,0,
,,,,,,,,,,,,,,
JE Root,2023-2023,3,1,2,0,14,0,-,-,7,-,0,0,
,,,,,,,,,,,,,,
R Sanjay Yadav,2022-2022,1,1,2,0,23,0,-,-,11.5,-,0,0,
,,,,,,,,,,,,,,
Jalaj S Saxena,2021-2021,1,1,3,0,27,0,-,-,9,-,0,0,
,,,,,,,,,,,,,,
Shahrukh Khan,2021-2025,49,2,2,0,15,0,-,-,7.5,-,0,0,
,,,,,,,,,,,,,,
RA Shaikh,2009-2009,1,1,1,0,11,0,-,-,11,-,0,0,
,,,,,,,,,,,,,,
H Sharma,2023-2024,2,2,5,0,57,0,-,-,11.4,-,0,0,
,,,,,,,,,,,,,,
MW Short,2023-2023,6,3,4,0,25,0,-,-,6.25,-,0,0,
,,,,,,,,,,,,,,
LPC Silva,2008-2008,3,1,1,0,21,0,-,-,21,-,0,0,
,,,,,,,,,,,,,,
SPD Smith,2012-2021,103,1,0.2,0,5,0,-,-,15,-,0,0,
,,,,,,,,,,,,,,
S Sriram,2010-2011,2,2,3,0,49,0,-,-,16.33,-,0,0,
,,,,,,,,,,,,,,
Sumit Kumar,2024-2024,4,2,3.2,0,38,0,-,-,11.4,-,0,0,
,,,,,,,,,,,,,,
Suryansh Shedge,2025-2025,5,1,3,0,40,0,-,-,13.33,-,0,0,
,,,,,,,,,,,,,,
MJ Suthar,2024-2024,1,1,2,0,26,0,-,-,13,-,0,0,
,,,,,,,,,,,,,,
A Taide,2023-2024,9,1,0.1,0,4,0,-,-,24,-,0,0,
,,,,,,,,,,,,,,
LRPL Taylor,2008-2014,55,2,2,0,24,0,-,-,12,-,0,0,
,,,,,,,,,,,,,,
Tejas Baroka,2017-2017,1,1,3.3,0,33,0,-,-,9.42,-,0,0,
,,,,,,,,,,,,,,
Sachin Tendulkar,2008-2013,78,4,6,0,58,0,-,-,9.66,-,0,0,
,,,,,,,,,,,,,,
Tilak Varma,2022-2025,48,4,3.4,0,28,0,-,-,7.63,-,0,0,
,,,,,,,,,,,,,,
Rahul Tripathi,2017-2025,100,1,1,0,12,0,-,-,12,-,0,0,
,,,,,,,,,,,,,,
K Upadhyay,2012-2013,3,3,9,0,81,0,-,-,9,-,0,0,
,,,,,,,,,,,,,,
M Vijay,2009-2020,106,4,6,0,49,0,-,-,8.16,-,0,0,
,,,,,,,,,,,,,,
Vivrant Sharma,2023-2023,3,2,3,0,37,0,-,-,12.33,-,0,0,
,,,,,,,,,,,,,,
AC Voges,2010-2010,9,7,9,0,76,0,-,-,8.44,-,0,0,
,,,,,,,,,,,,,,
Nehal Wadhera,2023-2025,29,2,2.5,0,22,0,-,-,7.76,-,0,0,
,,,,,,,,,,,,,,
David Warner,2009-2024,183,1,0.1,0,2,0,-,-,12,-,0,0,
,,,,,,,,,,,,,,
Kane Williamson,2015-2024,79,2,3,0,31,0,-,-,10.33,-,0,0,
,,,,,,,,,,,,,,
Suryakumar Yadav,2012-2025,160,1,1,0,8,0,-,-,8,-,0,0,
,,,,,,,,,,,,,,
VS Yeligati,2008-2008,2,2,5,0,59,0,-,-,11.8,-,0,0,
,,,,,,,,,,,,,,
AR Bawne,2017-2017,1,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
Abdul Basith,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
Abishek Porel,2023-2025,28,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
AD Nath,2016-2019,14,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
Mayank Agarwal,2011-2024,126,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
HM Amla,2016-2017,16,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
S Anirudha,2008-2014,20,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
Anirudh Singh,2010-2010,5,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
Anmolpreet Singh,2021-2024,9,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
Anuj Rawat,2021-2024,24,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
KB Arun Karthik,2010-2013,17,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
J Arunkumar,2008-2008,3,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
Priyansh Arya,2025-2025,10,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
SA Asnodkar,2008-2011,20,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
S Badrinath,2008-2013,94,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
GJ Bailey,2009-2016,40,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
JM Bairstow,2019-2024,50,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
T Banton,2020-2020,2,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
AB Barath,2010-2010,3,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
RA Bawa,2022-2025,3,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
F Behardien,2016-2016,3,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
JG Bethell,2025-2025,1,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
MS Bhandage,2025-2025,1,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
KS Bharat,2021-2022,10,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
RK Bhui,2018-2024,4,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
AA Bilakhia,2009-2010,7,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
SW Billings,2016-2022,30,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
UA Birla,2013-2013,2,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
TR Birt,2011-2011,5,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
Ravi Bishnoi,2009-2009,3,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
MS Bisla,2010-2015,39,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
AC Blizzard,2011-2012,7,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
MV Boucher,2008-2011,31,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
DM Bravo,2017-2017,1,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
HC Brook,2023-2023,11,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
Jos Buttler,2016-2025,116,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
AT Carey,2020-2020,3,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
UBT Chand,2011-2016,21,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
S Chanderpaul,2008-2008,3,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
SD Chauhan,2024-2024,3,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
A Chopra,2008-2009,7,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
P Chopra,2018-2019,2,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
DP Conway,2022-2025,26,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
DB Das,2008-2013,31,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
H Das,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
TH David,2021-2025,48,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
Quinton de Kock,2013-2025,114,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
JL Denly,2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
KH Devdhar,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
AB de Villiers,2008-2021,182,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
P Dharmani,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
MS Dhoni,2008-2025,273,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
YV Dhull,2023-2023,4,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
P Dogra,2010-2013,13,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
R Dravid,2008-2013,89,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
SB Dubey,2024-2025,10,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
BR Dunk,2014-2014,3,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
ER Dwivedi,2016-2016,4,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
CJ Ferguson,2011-2012,9,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
D Ferreira,2024-2025,3,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
SP Fleming,2008-2008,10,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
J Fraser-McGurk,2024-2025,15,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
RD Gaikwad,2020-2025,71,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
Gautam Gambhir,2008-2018,154,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
PK Garg,2020-2023,23,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
CM Gautam,2013-2015,13,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
AN Ghosh,2009-2009,2,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
HH Gibbs,2008-2012,36,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
SP Goswami,2008-2020,31,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
MJ Guptill,2016-2019,13,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
BJ Haddin,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
AD Hales,2018-2018,6,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
PSP Handscomb,2016-2016,2,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
Harpreet Singh,2010-2024,9,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
ML Hayden,2008-2010,32,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
SO Hetmyer,2019-2025,82,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
Himmat Singh,2025-2025,1,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
SD Hope,2024-2024,9,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
MEK Hussey,2008-2015,59,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
B Indrajith,2022-2022,3,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
JP Inglis,2025-2025,5,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
CA Ingram,2011-2019,14,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
SP Jackson,2017-2022,9,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
DJ Jacobs,2011-2012,7,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
KM Jadhav,2010-2023,95,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
W Jaffer,2008-2009,8,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
N Jagadeesan,2020-2023,13,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
IR Jaggi,2011-2017,7,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
DPMD Jayawardene,2008-2013,80,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
MC Juneja,2013-2013,7,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
DC Jurel,2023-2025,37,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
M Kaif,2008-2012,29,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
Kamran Akmal,2008-2008,6,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
KD Karthik,2008-2024,256,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
SM Katich,2008-2009,11,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
U Kaul,2008-2008,5,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
UT Khawaja,2016-2016,6,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
H Klaasen,2018-2025,44,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
M Klinger,2011-2011,4,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
T Kohler-Cadmore,2024-2024,3,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
T Kohli,2008-2009,4,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
TK Kotian,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
AA Kulkarni,2024-2024,2,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
K Kushagra,2024-2024,4,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
SD Lad,2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
VVS Laxman,2008-2011,20,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
DS Lehmann,2008-2008,2,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
RE Levi,2012-2012,6,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
E Lewis,2018-2022,27,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
Litton Das,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
MJ Lumb,2010-2011,12,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
CA Lynn,2012-2021,42,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
BB McCullum,2008-2018,109,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
C Madan,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
NJ Maddinson,2014-2015,3,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
AP Majumdar,2012-2012,4,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
DJ Malan,2021-2021,1,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
PN Mankad,2022-2023,6,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
A Manohar,2022-2025,24,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
SE Marsh,2008-2017,71,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
DR Martyn,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
A Mhatre,2025-2025,3,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
DA Miller,2012-2025,140,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
R Minz,2025-2025,2,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
Misbah-ul-Haq,2008-2008,8,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
MD Mishra,2010-2012,18,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
T Mishra,2012-2012,1,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
Mohammad Ashraful,2009-2009,1,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
EJG Morgan,2010-2021,83,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
A Mukund,2008-2013,3,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
NS Naik,2016-2020,4,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
KK Nair,2013-2025,82,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
Naman Ojha,2009-2018,112,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
D Padikkal,2020-2025,73,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
TD Paine,2011-2011,2,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
Manish Pandey,2008-2025,172,-,-,-,-,-,-,-,-,-,-,-,
