Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,
AK Markram,2021-2025,54,18,30.1,0,260,6,2/30,43.33,8.61,30.1,0,0,
"(Lucknow Super Giants, Punjab Kings, Sunrisers Hyderabad)",,,,,,,,,,,,,,
DG Nalkande,2022-2024,6,6,14.0,0,148,6,2/21,24.66,10.57,14.0,0,0,
(Gujarat Titans),,,,,,,,,,,,,,
D Pretorius,2022-2023,7,7,25.0,0,238,6,2/30,39.66,9.52,25.0,0,0,
(Chennai Super Kings),,,,,,,,,,,,,,
V Puthur,2025-2025,5,5,12.0,0,109,6,3/32,18.16,9.08,12.0,0,0,
(Mumbai Indians),,,,,,,,,,,,,,
RR Raje,2008-2009,10,10,23.1,0,209,6,2/16,34.83,9.02,23.1,0,0,
(Mumbai Indians),,,,,,,,,,,,,,
Ramandeep Singh,2022-2025,27,4,6.4,0,63,6,3/20,10.50,9.45,6.6,0,0,
"(Kolkata Knight Riders, Mumbai Indians)",,,,,,,,,,,,,,
AS Roy,2019-2025,11,10,26.4,0,218,6,2/19,36.33,8.17,26.6,0,0,
"(Kolkata Knight Riders, Mumbai Indians)",,,,,,,,,,,,,,
V Sehwag,2008-2015,104,15,22.4,0,235,6,2/18,39.16,10.36,22.6,0,0,
"(Delhi Daredevils, Kings XI Punjab)",,,,,,,,,,,,,,
OF Smith,2022-2022,6,6,15.0,0,178,6,4/30,29.66,11.86,15.0,1,0,
(Punjab Kings),,,,,,,,,,,,,,
TL Suman,2009-2013,43,11,25.0,0,197,6,2/14,32.83,7.88,25.0,0,0,
"(Deccan Chargers, Mumbai Indians, Pune Warriors)",,,,,,,,,,,,,,
JE Taylor,2011-2011,5,5,19.3,0,157,6,3/30,26.16,8.05,19.5,0,0,
(Pune Warriors),,,,,,,,,,,,,,
S Tyagi,2009-2010,14,14,34.5,0,295,6,2/18,49.16,8.46,34.8,0,0,
(Chennai Super Kings),,,,,,,,,,,,,,
Y Venugopal Rao,2008-2014,64,20,36.0,0,337,6,2/23,56.16,9.36,36.0,0,0,
"(Deccan Chargers, Delhi Daredevils, Sunrisers Hyderabad)",,,,,,,,,,,,,,
DJ Willey,2018-2023,11,11,36.0,1,272,6,2/16,45.33,7.55,36.0,0,0,
"(Chennai Super Kings, Royal Challengers Bangalore)",,,,,,,,,,,,,,
S Ladda,2010-2016,9,9,23.0,0,224,5,2/44,44.80,9.73,27.6,0,0,
"(Delhi Daredevils, Gujarat Lions, Kolkata Knight Riders)",,,,,,,,,,,,,,
Akash Singh,2021-2023,7,7,23.0,0,227,5,2/40,45.40,9.86,27.6,0,0,
"(Chennai Super Kings, Rajasthan Royals)",,,,,,,,,,,,,,
Azmatullah Omarzai,2024-2025,10,9,27.0,0,254,5,2/27,50.80,9.40,32.4,0,0,
"(Gujarat Titans, Punjab Kings)",,,,,,,,,,,,,,
A Choudhary,2017-2017,5,5,16.5,2,144,5,2/17,28.80,8.55,20.2,0,0,
(Royal Challengers Bangalore),,,,,,,,,,,,,,
PD Collingwood,2010-2010,8,6,14.5,0,101,5,2/19,20.20,6.80,17.8,0,0,
(Delhi Daredevils),,,,,,,,,,,,,,
M de Lange,2012-2015,5,5,18.0,1,169,5,3/34,33.80,9.38,21.6,0,0,
"(Kolkata Knight Riders, Mumbai Indians)",,,,,,,,,,,,,,
TM Dilshan,2008-2013,51,25,45.1,0,366,5,1/3,73.20,8.10,54.2,0,0,
"(Delhi Daredevils, Royal Challengers Bangalore)",,,,,,,,,,,,,,
AP Dole,2010-2010,3,3,11.0,0,112,5,2/36,22.40,10.18,13.2,0,0,
(Rajasthan Royals),,,,,,,,,,,,,,
S Dube,2019-2025,75,14,18.4,0,180,5,2/15,36.00,9.64,22.4,0,0,
"(Chennai Super Kings, Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,
FH Edwards,2009-2009,6,6,23.2,1,154,5,2/27,30.80,6.60,28.0,0,0,
(Deccan Chargers),,,,,,,,,,,,,,
RV Gomez,2011-2013,13,9,16.0,1,129,5,2/14,25.80,8.06,19.2,0,0,
"(Kochi Tuskers Kerala, Pune Warriors)",,,,,,,,,,,,,,
Gurkeerat Singh,2012-2020,41,6,13.0,0,97,5,2/15,19.40,7.46,15.6,0,0,
"(Kings XI Punjab, Royal Challengers Bangalore)",,,,,,,,,,,,,,
SH Johnson,2024-2025,9,9,27.2,0,284,5,2/25,56.80,10.39,32.8,0,0,
"(Gujarat Titans, Kolkata Knight Riders)",,,,,,,,,,,,,,
A Kamboj,2024-2025,7,7,20.0,0,189,5,1/16,37.80,9.45,24.0,0,0,
"(Chennai Super Kings, Mumbai Indians)",,,,,,,,,,,,,,
KMDN Kulasekara,2011-2012,5,5,17.0,0,120,5,2/10,24.00,7.05,20.4,0,0,
(Chennai Super Kings),,,,,,,,,,,,,,
E Malinga,2025-2025,3,3,11.0,0,114,5,2/36,22.80,10.36,13.2,0,0,
(Sunrisers Hyderabad),,,,,,,,,,,,,,
KL Nagarkoti,2020-2022,12,11,30.0,0,285,5,2/13,57.00,9.50,36.0,0,0,
"(Delhi Capitals, Kolkata Knight Riders)",,,,,,,,,,,,,,
S Narwal,2010-2013,7,6,17.4,0,202,5,3/36,40.40,11.43,21.2,0,0,
"(Kolkata Knight Riders, Rajasthan Royals)",,,,,,,,,,,,,,
R Shepherd,2022-2025,13,10,24.0,0,290,5,2/42,58.00,12.08,28.8,0,0,
"(Lucknow Super Giants, Mumbai Indians, Royal Challengers Bengaluru, Sunrisers Hyderabad)",,,,,,,,,,,,,,
Shoaib Ahmed,2009-2009,8,7,17.0,0,152,5,2/20,30.40,8.94,20.4,0,0,
(Deccan Chargers),,,,,,,,,,,,,,
Shoaib Akhtar,2008-2008,3,3,7.0,0,54,5,4/11,10.80,7.71,8.4,1,0,
(Kolkata Knight Riders),,,,,,,,,,,,,,
HR Shokeen,2022-2023,13,13,34.0,0,314,5,2/34,62.80,9.23,40.8,0,0,
(Mumbai Indians),,,,,,,,,,,,,,
R Shukla,2012-2014,7,7,20.0,0,208,5,2/28,41.60,10.40,24.0,0,0,
"(Delhi Daredevils, Mumbai Indians, Rajasthan Royals)",,,,,,,,,,,,,,
O Thomas,2019-2019,4,4,10.0,0,79,5,2/6,15.80,7.90,12.0,0,0,
(Rajasthan Royals),,,,,,,,,,,,,,
RJW Topley,2023-2024,5,5,17.0,0,182,5,2/27,36.40,10.70,20.4,0,0,
"(Royal Challengers Bangalore, Royal Challengers Bengaluru)",,,,,,,,,,,,,,
SB Wagh,2010-2011,8,8,17.0,0,137,5,3/16,27.40,8.05,20.4,0,0,
"(Pune Warriors, Rajasthan Royals)",,,,,,,,,,,,,,
Zeeshan Ansari,2025-2025,7,7,24.5,0,239,5,3/42,47.80,9.62,29.8,0,0,
(Sunrisers Hyderabad),,,,,,,,,,,,,,
SB Bangar,2008-2009,12,9,25.0,0,219,4,2/34,54.75,8.76,37.5,0,0,
"(Deccan Chargers, Kolkata Knight Riders)",,,,,,,,,,,,,,
S Dhawan,2008-2024,222,6,8.0,0,66,4,1/7,16.50,8.25,12.0,0,0,
"(Deccan Chargers, Delhi Capitals, Delhi Daredevils, Mumbai Indians, Punjab Kings, Sunrisers Hyderabad)",,,,,,,,,,,,,,
D du Preez,2009-2009,2,2,7.0,1,56,4,3/32,14.00,8.00,10.5,0,0,
(Royal Challengers Bangalore),,,,,,,,,,,,,,
V Kohli,2008-2025,260,26,41.5,0,368,4,2/25,92.00,8.79,62.7,0,0,
"(Royal Challengers Bangalore, Royal Challengers Bengaluru)",,,,,,,,,,,,,,
WA Mota,2008-2009,12,7,12.0,0,97,4,1/6,24.25,8.08,18.0,0,0,
(Kings XI Punjab),,,,,,,,,,,,,,
DJ Muthuswami,2015-2015,6,6,14.0,0,101,4,2/18,25.25,7.21,21.0,0,0,
(Delhi Daredevils),,,,,,,,,,,,,,
Y Nagar,2009-2012,25,8,11.0,0,125,4,2/20,31.25,11.36,16.5,0,0,
(Delhi Daredevils),,,,,,,,,,,,,,
R Parag,2019-2025,79,26,39.1,0,392,4,1/7,98.00,10.00,58.7,0,0,
(Rajasthan Royals),,,,,,,,,,,,,,
Parvez Rasool,2013-2016,11,11,33.0,0,271,4,1/20,67.75,8.21,49.5,0,0,
"(Pune Warriors, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,
LE Plunkett,2018-2018,7,7,25.0,0,225,4,3/17,56.25,9.00,37.5,0,0,
(Delhi Daredevils),,,,,,,,,,,,,,
Shivam Sharma,2014-2015,5,5,19.0,0,165,4,2/26,41.25,8.68,28.5,0,0,
(Kings XI Punjab),,,,,,,,,,,,,,
T Stubbs,2022-2025,28,5,6.0,0,69,4,2/11,17.25,11.50,9.0,0,0,
"(Delhi Capitals, Mumbai Indians)",,,,,,,,,,,,,,
DP Vijaykumar,2008-2008,9,9,25.2,0,199,4,1/17,49.75,7.85,38.0,0,0,
(Deccan Chargers),,,,,,,,,,,,,,
Yudhvir Singh,2023-2025,7,7,17.0,0,180,4,2/19,45.00,10.58,25.5,0,0,
"(Lucknow Super Giants, Rajasthan Royals)",,,,,,,,,,,,,,
L Ablish,2010-2011,3,3,7.0,0,75,3,2/17,25.00,10.71,14.0,0,0,
(Kings XI Punjab),,,,,,,,,,,,,,
DAJ Bracewell,2012-2012,1,1,4.0,0,32,3,3/32,10.66,8.00,8.0,0,0,
(Delhi Daredevils),,,,,,,,,,,,,,
Gagandeep Singh,2008-2008,4,4,14.0,0,141,3,1/33,47.00,10.07,28.0,0,0,
(Kings XI Punjab),,,,,,,,,,,,,,
GHS Garton,2021-2021,5,5,15.0,0,135,3,1/27,45.00,9.00,30.0,0,0,
(Royal Challengers Bangalore),,,,,,,,,,,,,,
RS Hangargekar,2023-2023,2,2,6.0,0,60,3,3/36,20.00,10.00,12.0,0,0,
(Chennai Super Kings),,,,,,,,,,,,,,
SM Harwood,2009-2009,3,3,10.0,0,73,3,2/25,24.33,7.30,20.0,0,0,
(Rajasthan Royals),,,,,,,,,,,,,,
JW Hastings,2014-2016,3,3,9.4,1,66,3,2/6,22.00,6.82,19.3,0,0,
"(Chennai Super Kings, Kolkata Knight Riders)",,,,,,,,,,,,,,
VR Iyer,2021-2025,60,9,13.3,0,143,3,2/29,47.66,10.59,27.0,0,0,
(Kolkata Knight Riders),,,,,,,,,,,,,,
JM Kemp,2010-2010,5,5,7.2,0,54,3,3/12,18.00,7.36,14.6,0,0,
(Chennai Super Kings),,,,,,,,,,,,,,
AL Menaria,2011-2013,29,12,18.2,0,144,3,2/20,48.00,7.85,36.6,0,0,
(Rajasthan Royals),,,,,,,,,,,,,,
R Ninan,2011-2011,2,2,6.0,0,65,3,2/31,21.66,10.83,12.0,0,0,
(Royal Challengers Bangalore),,,,,,,,,,,,,,
K Nitish Kumar Reddy,2023-2025,24,9,18.1,0,207,3,2/17,69.00,11.39,36.3,0,0,
(Sunrisers Hyderabad),,,,,,,,,,,,,,
RJ Peterson,2012-2012,5,4,8.0,0,70,3,3/37,23.33,8.75,16.0,0,0,
(Mumbai Indians),,,,,,,,,,,,,,
JA Richardson,2021-2024,4,4,15.0,0,157,3,2/41,52.33,10.46,30.0,0,0,
"(Delhi Capitals, Punjab Kings)",,,,,,,,,,,,,,
P Sahu,2016-2016,5,5,17.3,0,146,3,2/18,48.66,8.34,35.0,0,0,
(Kings XI Punjab),,,,,,,,,,,,,,
K Santokie,2014-2014,2,2,8.0,0,90,3,2/50,30.00,11.25,16.0,0,0,
(Mumbai Indians),,,,,,,,,,,,,,
R Sathish,2010-2016,34,14,23.1,0,232,3,1/11,77.33,10.01,46.3,0,0,
"(Kings XI Punjab, Kolkata Knight Riders, Mumbai Indians)",,,,,,,,,,,,,,
T Shamsi,2016-2021,5,5,20.0,0,181,3,1/21,60.33,9.05,40.0,0,0,
"(Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,
M Siddharth,2024-2025,5,5,16.0,0,138,3,2/39,46.00,8.62,32.0,0,0,
(Lucknow Super Giants),,,,,,,,,,,,,,
Sikandar Raza,2023-2024,9,7,14.0,0,141,3,1/19,47.00,10.07,28.0,0,0,
(Punjab Kings),,,,,,,,,,,,,,
AS Tendulkar,2023-2024,5,5,12.1,0,114,3,1/9,38.00,9.36,24.3,0,0,
(Mumbai Indians),,,,,,,,,,,,,,
DJ Thornely,2008-2008,6,4,7.0,0,40,3,2/7,13.33,5.71,14.0,0,0,
(Mumbai Indians),,,,,,,,,,,,,,
JJ van der Wath,2011-2011,3,3,12.0,0,129,3,2/49,43.00,10.75,24.0,0,0,
(Royal Challengers Bangalore),,,,,,,,,,,,,,
KJ Abbott,2016-2016,5,5,16.0,0,177,2,1/38,88.50,11.06,48.0,0,0,
(Kings XI Punjab),,,,,,,,,,,,,,
Abdul Samad,2020-2025,59,6,9.2,0,119,2,1/9,59.50,12.75,28.0,0,0,
"(Lucknow Super Giants, Sunrisers Hyderabad)",,,,,,,,,,,,,,
FA Allen,2021-2022,5,4,15.0,1,136,2,1/22,68.00,9.06,45.0,0,0,
"(Mumbai Indians, Punjab Kings)",,,,,,,,,,,,,,
Ankit Soni,2017-2017,7,6,18.1,0,144,2,1/16,72.00,7.92,54.5,0,0,
(Gujarat Lions),,,,,,,,,,,,,,
A Badoni,2022-2025,51,5,4.1,0,36,2,1/5,18.00,8.64,12.5,0,0,
(Lucknow Super Giants),,,,,,,,,,,,,,
XC Bartlett,2025-2025,3,3,9.0,0,84,2,1/26,42.00,9.33,27.0,0,0,
(Punjab Kings),,,,,,,,,,,,,,
SM Boland,2016-2016,2,2,7.0,0,54,2,2/31,27.00,7.71,21.0,0,0,
(Rising Pune Supergiants),,,,,,,,,,,,,,
SD Chitnis,2008-2012,11,2,6.0,0,60,2,2/40,30.00,10.00,18.0,0,0,
"(Kings XI Punjab, Mumbai Indians, Rajasthan Royals)",,,,,,,,,,,,,,
MJ Clarke,2012-2012,6,5,11.0,0,67,2,1/12,33.50,6.09,33.0,0,0,
(Pune Warriors),,,,,,,,,,,,,,
MJ Dagar,2023-2024,8,8,22.5,0,203,2,1/23,101.50,8.89,68.5,0,0,
"(Royal Challengers Bengaluru, Sunrisers Hyderabad)",,,,,,,,,,,,,,
ND Doshi,2010-2011,4,4,9.2,0,79,2,1/15,39.50,8.46,28.0,0,0,
"(Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,
A Flintoff,2009-2009,3,3,11.0,0,105,2,1/11,52.50,9.54,33.0,0,0,
(Chennai Super Kings),,,,,,,,,,,,,,
TM Head,2016-2025,34,6,9.4,0,113,2,2/30,56.50,11.68,29.0,0,0,
"(Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,
MJ Henry,2017-2024,6,6,17.0,0,181,2,1/28,90.50,10.64,51.0,0,0,
"(Kings XI Punjab, Lucknow Super Giants)",,,,,,,,,,,,,,
D Kalyankrishna,2008-2008,3,3,8.0,0,87,2,1/30,43.50,10.87,24.0,0,0,
(Deccan Chargers),,,,,,,,,,,,,,
V Kaverappa,2024-2024,1,1,4.0,0,36,2,2/36,18.00,9.00,12.0,0,0,
(Punjab Kings),,,,,,,,,,,,,,
MA Khote,2008-2008,4,2,5.0,0,51,2,2/29,25.50,10.20,15.0,0,0,
(Mumbai Indians),,,,,,,,,,,,,,
SC Kuggeleijn,2019-2019,2,2,8.0,0,71,2,2/37,35.50,8.87,24.0,0,0,
(Chennai Super Kings),,,,,,,,,,,,,,
KA Maharaj,2024-2024,2,2,6.0,0,39,2,2/23,19.50,6.50,18.0,0,0,
(Rajasthan Royals),,,,,,,,,,,,,,
PHKD Mendis,2025-2025,3,3,5.0,0,42,2,1/4,21.00,8.40,15.0,0,0,
(Sunrisers Hyderabad),,,,,,,,,,,,,,
Mohammad Hafeez,2008-2008,8,4,10.0,0,68,2,1/8,34.00,6.80,30.0,0,0,
(Kolkata Knight Riders),,,,,,,,,,,,,,
C Nanda,2009-2009,3,3,8.0,0,57,2,1/4,28.50,7.12,24.0,0,0,
(Mumbai Indians),,,,,,,,,,,,,,
GD Phillips,2021-2023,8,4,5.0,0,40,2,1/10,20.00,8.00,15.0,0,0,
"(Rajasthan Royals, Sunrisers Hyderabad)",,,,,,,,,,,,,,
Prince Yadav,2025-2025,5,5,18.5,0,182,2,1/29,91.00,9.66,56.5,0,0,
(Lucknow Super Giants),,,,,,,,,,,,,,
AU Rashid,2021-2023,3,3,10.0,0,91,2,2/23,45.50,9.10,30.0,0,0,
"(Punjab Kings, Sunrisers Hyderabad)",,,,,,,,,,,,,,
Sachin Baby,2013-2021,19,2,1.4,0,8,2,2/4,4.00,4.80,5.0,0,0,
"(Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,
JPR Scantlebury-Searles,2018-2018,4,3,7.0,0,89,2,1/24,44.50,12.71,21.0,0,0,
(Kolkata Knight Riders),,,,,,,,,,,,,,
Shoaib Malik,2008-2008,7,5,8.3,0,85,2,1/6,42.50,10.00,25.5,0,0,
(Delhi Daredevils),,,,,,,,,,,,,,
PH Solanki,2022-2022,2,2,6.0,0,38,2,2/20,19.00,6.33,18.0,0,0,
(Chennai Super Kings),,,,,,,,,,,,,,
P Suyal,2013-2015,5,5,16.0,0,151,2,1/21,75.50,9.43,48.0,0,0,
(Mumbai Indians),,,,,,,,,,,,,,
RN ten Doeschate,2011-2015,29,10,13.0,0,94,2,1/7,47.00,7.23,39.0,0,0,
(Kolkata Knight Riders),,,,,,,,,,,,,,
A Uniyal,2010-2010,2,2,6.0,0,66,2,2/41,33.00,11.00,18.0,0,0,
(Rajasthan Royals),,,,,,,,,,,,,,
LJ Wright,2012-2013,7,6,11.5,0,124,2,1/12,62.00,10.47,35.5,0,0,
(Pune Warriors),,,,,,,,,,,,,,
K Yadav,2021-2023,3,3,9.0,0,84,2,1/18,42.00,9.33,27.0,0,0,
(Rajasthan Royals),,,,,,,,,,,,,,
DNT Zoysa,2008-2008,3,3,11.0,0,99,2,1/30,49.50,9.00,33.0,0,0,
(Deccan Chargers),,,,,,,,,,,,,,
SA Abbott,2015-2022,3,3,9.0,0,104,1,1/47,104.00,11.55,54.0,0,0,
"(Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,
SS Agarwal,2017-2017,1,1,4.0,0,42,1,1/42,42.00,10.50,24.0,0,0,
(Gujarat Lions),,,,,,,,,,,,,,
C Bosch,2025-2025,1,1,4.0,0,26,1,1/26,26.00,6.50,24.0,0,0,
(Mumbai Indians),,,,,,,,,,,,,,
D Brevis,2022-2025,12,1,0.3,0,8,1,1/8,8.00,16.00,3.0,0,0,
"(Chennai Super Kings, Mumbai Indians)",,,,,,,,,,,,,,
LA Carseldine,2009-2009,5,1,1.0,0,6,1,1/6,6.00,6.00,6.0,0,0,
(Rajasthan Royals),,,,,,,,,,,,,,
P Dubey,2020-2023,4,4,11.0,0,91,1,1/19,91.00,8.27,66.0,0,0,
(Delhi Capitals),,,,,,,,,,,,,,
AJ Finch,2010-2022,92,5,7.1,0,67,1,1/11,67.00,9.34,43.0,0,0,
"(Delhi Daredevils, Gujarat Lions, Kings XI Punjab, Kolkata Knight Riders, Mumbai Indians, Pune Warriors, Rajasthan Royals, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,
B Geeves,2008-2008,2,2,8.0,0,91,1,1/50,91.00,11.37,48.0,0,0,
(Delhi Daredevils),,,,,,,,,,,,,,
AC Gilchrist,2008-2013,80,1,0.1,0,0,1,1/0,0.00,0.00,1.0,0,0,
"(Deccan Chargers, Kings XI Punjab)",,,,,,,,,,,,,,
RJ Gleeson,2024-2024,2,2,7.5,0,71,1,1/30,71.00,9.06,47.0,0,0,
(Chennai Super Kings),,,,,,,,,,,,,,
Harmeet Singh,2013-2013,1,1,4.0,0,34,1,1/34,34.00,8.50,24.0,0,0,
(Rajasthan Royals),,,,,,,,,,,,,,
T Henderson,2009-2009,2,2,6.0,0,40,1,1/30,40.00,6.66,36.0,0,0,
(Rajasthan Royals),,,,,,,,,,,,,,
AJ Hosein,2023-2023,1,1,4.0,0,40,1,1/40,40.00,10.00,24.0,0,0,
(Sunrisers Hyderabad),,,,,,,,,,,,,,
D Jansen,2023-2023,1,1,4.0,0,53,1,1/53,53.00,13.25,24.0,0,0,
(Mumbai Indians),,,,,,,,,,,,,,
AA Jhunjhunwala,2010-2012,21,10,14.1,0,129,1,1/13,129.00,9.10,85.0,0,0,
"(Deccan Chargers, Pune Warriors, Rajasthan Royals)",,,,,,,,,,,,,,
SB Joshi,2008-2008,4,4,9.1,0,82,1,1/27,82.00,8.94,55.0,0,0,
(Royal Challengers Bangalore),,,,,,,,,,,,,,
MK Lomror,2018-2024,40,11,15.0,0,127,1,1/22,127.00,8.46,90.0,0,0,
"(Rajasthan Royals, Royal Challengers Bangalore, Royal Challengers Bengaluru)",,,,,,,,,,,,,,
CJ McKay,2012-2012,2,2,7.0,0,60,1,1/36,60.00,8.57,42.0,0,0,
(Mumbai Indians),,,,,,,,,,,,,,
SSB Magala,2023-2023,2,2,6.0,0,51,1,1/37,51.00,8.50,36.0,0,0,
(Chennai Super Kings),,,,,,,,,,,,,,
KT Maphaka,2024-2024,2,2,6.0,0,89,1,1/23,89.00,14.83,36.0,0,0,
(Mumbai Indians),,,,,,,,,,,,,,
BMAJ Mendis,2013-2013,3,2,5.0,0,36,1,1/16,36.00,7.20,30.0,0,0,
(Delhi Daredevils),,,,,,,,,,,,,,
LI Meriwala,2021-2021,1,1,3.0,0,32,1,1/32,32.00,10.66,18.0,0,0,
(Delhi Capitals),,,,,,,,,,,,,,
DJ Mitchell,2022-2024,15,4,8.0,0,97,1,1/18,97.00,12.12,48.0,0,0,
"(Chennai Super Kings, Rajasthan Royals)",,,,,,,,,,,,,,
RG More,2015-2015,2,2,5.5,0,59,1,1/31,59.00,10.11,35.0,0,0,
(Chennai Super Kings),,,,,,,,,,,,,,
SS Mundhe,2011-2011,1,1,1.0,0,6,1,1/6,6.00,6.00,6.0,0,0,
(Pune Warriors),,,,,,,,,,,,,,
GR Napier,2009-2009,1,1,4.0,0,27,1,1/27,27.00,6.75,24.0,0,0,
(Mumbai Indians),,,,,,,,,,,,,,
A Nel,2008-2008,1,1,3.0,0,31,1,1/31,31.00,10.33,18.0,0,0,
(Mumbai Indians),,,,,,,,,,,,,,
AA Noffke,2008-2008,1,1,4.0,0,40,1,1/40,40.00,10.00,24.0,0,0,
(Royal Challengers Bangalore),,,,,,,,,,,,,,
IC Porel,2021-2021,1,1,4.0,0,39,1,1/39,39.00,9.75,24.0,0,0,
(Punjab Kings),,,,,,,,,,,,,,
R Powell,2022-2025,28,2,3.0,0,35,1,1/18,35.00,11.66,18.0,0,0,
"(Delhi Capitals, Kolkata Knight Riders, Rajasthan Royals)",,,,,,,,,,,,,,
Y Prithvi Raj,2019-2019,2,2,5.0,0,57,1,1/29,57.00,11.40,30.0,0,0,
(Kolkata Knight Riders),,,,,,,,,,,,,,
AM Rahane,2008-2025,195,1,1.0,0,5,1,1/5,5.00,5.00,6.0,0,0,
"(Chennai Super Kings, Delhi Capitals, Kolkata Knight Riders, Mumbai Indians, Rajasthan Royals, Rising Pune Supergiant, Rising Pune Supergiants)",,,,,,,,,,,,,,
PVSN Raju,2025-2025,2,2,4.0,0,53,1,1/40,53.00,13.25,24.0,0,0,
(Mumbai Indians),,,,,,,,,,,,,,
DB Ravi Teja,2008-2013,32,2,3.0,0,28,1,1/19,28.00,9.33,18.0,0,0,
"(Deccan Chargers, Sunrisers Hyderabad)",,,,,,,,,,,,,,
SE Rutherford,2019-2025,18,6,6.5,0,59,1,1/6,59.00,8.63,41.0,0,0,
"(Delhi Capitals, Gujarat Titans, Royal Challengers Bangalore)",,,,,,,,,,,,,,
D Salunkhe,2008-2008,6,5,8.0,0,78,1,1/21,78.00,9.75,48.0,0,0,
(Rajasthan Royals),,,,,,,,,,,,,,
GS Sandhu,2015-2015,3,2,8.0,0,82,1,1/33,82.00,10.25,48.0,0,0,
(Delhi Daredevils),,,,,,,,,,,,,,
SS Sarkar,2009-2009,2,2,4.1,0,34,1,1/15,34.00,8.16,25.0,0,0,
(Kolkata Knight Riders),,,,,,,,,,,,,,
PM Sarvesh Kumar,2008-2008,2,2,5.0,0,42,1,1/18,42.00,8.40,30.0,0,0,
(Deccan Chargers),,,,,,,,,,,,,,
Shashank Singh,2022-2025,34,4,5.0,0,52,1,1/5,52.00,10.40,30.0,0,0,
"(Punjab Kings, Sunrisers Hyderabad)",,,,,,,,,,,,,,
DJM Short,2018-2018,7,2,3.0,0,19,1,1/10,19.00,6.33,18.0,0,0,
(Rajasthan Royals),,,,,,,,,,,,,,
LMP Simmons,2014-2017,29,1,3.0,0,34,1,1/34,34.00,11.33,18.0,0,0,
(Mumbai Indians),,,,,,,,,,,,,,
NB Singh,2017-2017,2,2,4.0,0,15,1,1/7,15.00,3.75,24.0,0,0,
(Gujarat Lions),,,,,,,,,,,,,,
TP Sudhindra,2012-2012,3,3,11.4,0,136,1,1/46,136.00,11.65,70.0,0,0,
(Deccan Chargers),,,,,,,,,,,,,,
MK Tiwary,2008-2018,98,6,7.0,0,83,1,1/11,83.00,11.85,42.0,0,0,
"(Delhi Daredevils, Kings XI Punjab, Kolkata Knight Riders, Rising Pune Supergiant)",,,,,,,,,,,,,,
S Vidyut,2008-2008,9,1,2.0,0,22,1,1/22,22.00,11.00,12.0,0,0,
(Chennai Super Kings),,,,,,,,,,,,,,
GH Vihari,2013-2019,24,6,7.0,0,47,1,1/5,47.00,6.71,42.0,0,0,
"(Delhi Capitals, Sunrisers Hyderabad)",,,,,,,,,,,,,,
V Viyaskanth,2024-2024,3,3,10.0,0,86,1,1/37,86.00,8.60,60.0,0,0,
(Sunrisers Hyderabad),,,,,,,,,,,,,,
CL White,2008-2013,47,6,7.0,0,86,1,1/14,86.00,12.28,42.0,0,0,
"(Deccan Chargers, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,
LB Williams,2024-2024,2,2,6.0,0,72,1,1/38,72.00,12.00,36.0,0,0,
(Delhi Capitals),,,,,,,,,,,,,,
L Wood,2024-2024,2,2,6.0,0,93,1,1/68,93.00,15.50,36.0,0,0,
(Mumbai Indians),,,,,,,,,,,,,,
Abdur Razzak,2008-2008,1,1,2.0,0,29,0,-,-,14.50,-,0,0,
(Royal Challengers Bangalore),,,,,,,,,,,,,,
Aman Hakim Khan,2022-2023,12,1,1.0,0,13,0,-,-,13.00,-,0,0,
"(Delhi Capitals, Kolkata Knight Riders)",,,,,,,,,,,,,,
RR Bhatkal,2012-2012,1,1,2.0,0,35,0,-,-,17.50,-,0,0,
(Royal Challengers Bangalore),,,,,,,,,,,,,,
RR Bose,2009-2009,1,1,2.0,0,24,0,-,-,12.00,-,0,0,
(Kings XI Punjab),,,,,,,,,,,,,,
B Chipli,2008-2013,23,1,1.0,0,20,0,-,-,20.00,-,0,0,
"(Deccan Chargers, Delhi Daredevils, Royal Challengers Bangalore)",,,,,,,,,,,,,,
CJ Dala,2018-2018,1,1,3.0,0,34,0,-,-,11.33,-,0,0,
(Delhi Daredevils),,,,,,,,,,,,,,
A Dananjaya,2018-2018,1,1,4.0,0,47,0,-,-,11.75,-,0,0,
(Mumbai Indians),,,,,,,,,,,,,,
F du Plessis,2012-2025,149,1,1.0,0,16,0,-,-,16.00,-,0,0,
"(Chennai Super Kings, Delhi Capitals, Rising Pune Supergiant, Rising Pune Supergiants, Royal Challengers Bangalore, Royal Challengers Bengaluru)",,,,,,,,,,,,,,
FY Fazal,2010-2011,12,2,2.0,0,20,0,-,-,10.00,-,0,0,
(Rajasthan Royals),,,,,,,,,,,,,,
