,,,,,,,,,venue Chennai,,,,,
Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
HM Amla,2017-2017,1,1,0,25,25,25,27,92.59,0,0,0,4,0
(Kings XI Punjab),,,,,,,,,,,,,,
CR Brathwaite,2016-2019,4,4,0,25,8,6.25,18,138.88,0,0,0,1,2
"(Delhi Daredevils, Kolkata Knight Riders, Sunrisers Hyderabad)",,,,,,,,,,,,,,
Mohammad Hafeez,2008-2008,4,4,0,25,13,6.25,33,75.75,0,0,0,3,1
(Kolkata Knight Riders),,,,,,,,,,,,,,
SPD Smith,2012-2019,3,3,0,25,14,8.33,31,80.64,0,0,0,1,1
"(Pune Warriors, Rajasthan Royals, Rising Pune Supergiant)",,,,,,,,,,,,,,
CR Woakes,2017-2018,7,4,1,25,18,8.33,30,83.33,0,0,0,4,0
"(Kolkata Knight Riders, Royal Challengers Bangalore)",,,,,,,,,,,,,,
CH Morris,2013-2019,6,4,0,24,11,6,23,104.34,0,0,1,3,0
"(Chennai Super Kings, Delhi Capitals, Delhi Daredevils)",,,,,,,,,,,,,,
SS Prabhudessai,2024-2024,1,1,0,24,24,24,18,133.33,0,0,0,3,0
(Royal Challengers Bengaluru),,,,,,,,,,,,,,
DB Ravi Teja,2011-2013,2,2,0,24,14,12,23,104.34,0,0,0,1,1
"(Deccan Chargers, Sunrisers Hyderabad)",,,,,,,,,,,,,,
GC Smith,2008-2008,1,1,0,24,24,24,24,100,0,0,0,4,0
(Rajasthan Royals),,,,,,,,,,,,,,
K Gowtham,2018-2023,3,3,2,23,11*,23,16,143.75,0,0,0,2,1
"(Lucknow Super Giants, Rajasthan Royals)",,,,,,,,,,,,,,
J Arunkumar,2008-2008,1,1,0,22,22,22,17,129.41,0,0,0,5,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
SP Jackson,2017-2017,2,2,1,22,12*,22,14,157.14,0,0,0,4,0
(Kolkata Knight Riders),,,,,,,,,,,,,,
AL Menaria,2011-2012,2,2,0,22,21,11,23,95.65,0,0,0,1,1
(Rajasthan Royals),,,,,,,,,,,,,,
T Taibu,2008-2008,2,2,0,22,15,11,21,104.76,0,0,0,2,0
(Kolkata Knight Riders),,,,,,,,,,,,,,
Abdul Samad,2024-2025,2,2,0,21,15,10.5,15,140,0,0,0,2,1
"(Lucknow Super Giants, Sunrisers Hyderabad)",,,,,,,,,,,,,,
TK Curran,2018-2018,3,3,0,21,18,7,23,91.3,0,0,0,3,0
(Kolkata Knight Riders),,,,,,,,,,,,,,
UT Khawaja,2016-2016,1,1,0,21,21,21,17,123.52,0,0,0,3,0
(Rising Pune Supergiants),,,,,,,,,,,,,,
P Kumar,2008-2017,8,5,3,21,12,10.5,26,80.76,0,0,1,2,0
"(Gujarat Lions, Kings XI Punjab, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,
JM Sharma,2023-2025,3,1,0,21,21,21,18,116.66,0,0,0,0,2
"(Punjab Kings, Royal Challengers Bengaluru)",,,,,,,,,,,,,,
MJ McClenaghan,2015-2018,3,1,0,20,20,20,8,250,0,0,0,0,3
(Mumbai Indians),,,,,,,,,,,,,,
MA Starc,2014-2024,7,3,3,20,12*,-,13,153.84,0,0,0,2,0
"(Kolkata Knight Riders, Royal Challengers Bangalore)",,,,,,,,,,,,,,
DJ Willey,2023-2023,1,1,1,20,20*,-,20,100,0,0,0,2,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
MG Bracewell,2023-2023,1,1,0,19,19,19,18,105.55,0,0,0,1,1
(Royal Challengers Bangalore),,,,,,,,,,,,,,
JO Holder,2014-2016,2,2,0,19,16,9.5,15,126.66,0,0,0,2,1
"(Kolkata Knight Riders, Sunrisers Hyderabad)",,,,,,,,,,,,,,
SN Khan,2018-2019,2,2,0,19,13,9.5,23,82.6,0,0,0,2,0
"(Kings XI Punjab, Royal Challengers Bangalore)",,,,,,,,,,,,,,
K Nitish Kumar Reddy,2025-2025,1,1,0,19,19,19,15,126.66,0,0,0,2,1
(Sunrisers Hyderabad),,,,,,,,,,,,,,
RT Ponting,2008-2008,2,2,0,19,19,9.5,32,59.37,0,0,1,1,0
(Kolkata Knight Riders),,,,,,,,,,,,,,
S Rana,2014-2014,1,1,1,19,19*,-,12,158.33,0,0,0,2,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
TL Suman,2010-2011,2,2,1,19,15*,19,15,126.66,0,0,0,1,1
"(Deccan Chargers, Mumbai Indians)",,,,,,,,,,,,,,
UT Yadav,2012-2023,25,8,7,19,6*,19,17,111.76,0,0,0,1,0
"(Delhi Daredevils, Kolkata Knight Riders, Royal Challengers Bangalore)",,,,,,,,,,,,,,
Abishek Porel,2024-2024,1,1,0,18,18,18,15,120,0,0,0,2,1
(Delhi Capitals),,,,,,,,,,,,,,
S Gopal,2018-2019,2,1,0,18,18,18,9,200,0,0,0,4,0
(Rajasthan Royals),,,,,,,,,,,,,,
BJ Haddin,2011-2011,1,1,0,18,18,18,11,163.63,0,0,0,2,1
(Kolkata Knight Riders),,,,,,,,,,,,,,
ST Jayasuriya,2008-2008,1,1,0,18,18,18,10,180,0,0,0,3,1
(Mumbai Indians),,,,,,,,,,,,,,
MK Lomror,2022-2024,2,2,0,18,14,9,12,150,0,0,0,3,0
"(Royal Challengers Bangalore, Royal Challengers Bengaluru)",,,,,,,,,,,,,,
KK Nair,2016-2018,3,2,0,18,15,9,25,72,0,0,0,3,0
"(Delhi Daredevils, Kings XI Punjab)",,,,,,,,,,,,,,
Akash Deep,2023-2025,2,1,0,17,17,17,8,212.5,0,0,0,2,1
"(Lucknow Super Giants, Royal Challengers Bangalore)",,,,,,,,,,,,,,
A Chopra,2008-2008,3,3,0,17,13,5.66,25,68,0,0,0,2,0
(Kolkata Knight Riders),,,,,,,,,,,,,,
Harpreet Brar,2023-2025,3,1,1,17,17*,-,9,188.88,0,0,0,2,1
(Punjab Kings),,,,,,,,,,,,,,
Naman Dhir,2024-2024,1,1,0,17,17,17,6,283.33,0,0,0,1,2
(Mumbai Indians),,,,,,,,,,,,,,
Shahbaz Ahmed,2022-2024,3,2,0,17,16,8.5,10,170,0,0,0,1,2
"(Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,
R Vinay Kumar,2008-2018,9,4,3,17,11,17,14,121.42,0,0,0,2,0
"(Kochi Tuskers Kerala, Kolkata Knight Riders, Mumbai Indians, Royal Challengers Bangalore)",,,,,,,,,,,,,,
FY Fazal,2010-2011,2,2,0,16,13,8,17,94.11,0,0,0,1,0
(Rajasthan Royals),,,,,,,,,,,,,,
Harshit Rana,2023-2025,16,3,2,16,10*,16,17,94.11,0,0,0,3,0
(Kolkata Knight Riders),,,,,,,,,,,,,,
DL Vettori,2010-2012,3,2,2,16,12*,-,10,160,0,0,0,2,0
"(Delhi Daredevils, Royal Challengers Bangalore)",,,,,,,,,,,,,,
AB Agarkar,2008-2010,7,3,1,15,8*,7.5,13,115.38,0,0,0,2,0
(Kolkata Knight Riders),,,,,,,,,,,,,,
NM Coulter-Nile,2016-2017,5,3,1,15,7*,7.5,19,78.94,0,0,0,1,1
"(Delhi Daredevils, Kolkata Knight Riders)",,,,,,,,,,,,,,
MG Johnson,2013-2018,8,3,2,15,10*,15,18,83.33,0,0,0,0,1
"(Kings XI Punjab, Kolkata Knight Riders, Mumbai Indians)",,,,,,,,,,,,,,
AG Paunikar,2011-2011,1,1,0,15,15,15,15,100,0,0,0,2,0
(Rajasthan Royals),,,,,,,,,,,,,,
SB Bangar,2008-2008,1,1,0,14,14,14,10,140,0,0,0,1,1
(Deccan Chargers),,,,,,,,,,,,,,
PJ Cummins,2014-2025,5,3,2,14,14,14,16,87.5,0,0,0,2,0
"(Delhi Daredevils, Kolkata Knight Riders, Sunrisers Hyderabad)",,,,,,,,,,,,,,
P Dogra,2010-2012,2,2,0,14,8,7,23,60.86,0,0,0,0,0
"(Kings XI Punjab, Rajasthan Royals)",,,,,,,,,,,,,,
Harmeet Singh,2010-2013,3,1,0,14,14,14,6,233.33,0,0,0,3,0
"(Deccan Chargers, Kings XI Punjab)",,,,,,,,,,,,,,
CA Ingram,2019-2019,1,1,1,14,14*,-,6,233.33,0,0,0,1,1
(Delhi Capitals),,,,,,,,,,,,,,
Iqbal Abdulla,2008-2016,15,3,3,14,12*,-,12,116.66,0,0,0,1,0
"(Kolkata Knight Riders, Royal Challengers Bangalore)",,,,,,,,,,,,,,
C Munro,2016-2016,3,2,0,14,10,7,13,107.69,0,0,0,2,0
(Kolkata Knight Riders),,,,,,,,,,,,,,
DW Steyn,2008-2019,7,2,1,14,13,14,13,107.69,0,0,0,1,0
"(Deccan Chargers, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,
AD Nath,2019-2019,1,1,0,13,13,13,15,86.66,0,0,0,0,1
(Royal Challengers Bangalore),,,,,,,,,,,,,,
JR Hopes,2008-2008,1,1,0,13,13,13,10,130,0,0,0,2,0
(Kings XI Punjab),,,,,,,,,,,,,,
AS Raut,2010-2011,2,2,0,13,11,6.5,19,68.42,0,0,0,1,0
(Rajasthan Royals),,,,,,,,,,,,,,
Shivam Mavi,2018-2018,6,3,1,13,7,6.5,12,108.33,0,0,0,1,0
(Kolkata Knight Riders),,,,,,,,,,,,,,
Sohail Tanvir,2008-2008,1,1,0,13,13,13,8,162.5,0,0,0,1,1
(Rajasthan Royals),,,,,,,,,,,,,,
AR Bawne,2017-2017,1,1,1,12,12*,-,12,100,0,0,0,1,0
(Delhi Daredevils),,,,,,,,,,,,,,
J Fraser-McGurk,2024-2024,1,1,0,12,12,12,7,171.42,0,0,0,1,1
(Delhi Capitals),,,,,,,,,,,,,,
MF Maharoof,2008-2010,2,2,0,12,10,6,15,80,0,0,0,0,0
(Delhi Daredevils),,,,,,,,,,,,,,
HV Patel,2012-2025,6,3,1,12,9*,6,11,109.09,0,0,1,0,1
"(Punjab Kings, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,
PVD Chameera,2022-2024,2,1,1,11,11*,-,4,275,0,0,0,1,1
"(Kolkata Knight Riders, Lucknow Super Giants)",,,,,,,,,,,,,,
JP Inglis,2025-2025,1,1,1,11,11*,-,6,183.33,0,0,0,2,0
(Punjab Kings),,,,,,,,,,,,,,
R Sathish,2010-2011,2,1,0,11,11,11,11,100,0,0,0,1,0
(Mumbai Indians),,,,,,,,,,,,,,
L Balaji,2008-2013,16,2,2,10,9*,-,8,125,0,0,0,1,0
"(Chennai Super Kings, Kolkata Knight Riders)",,,,,,,,,,,,,,
RV Gomez,2011-2011,1,1,1,10,10*,-,10,100,0,0,0,0,1
(Kochi Tuskers Kerala),,,,,,,,,,,,,,
B Lee,2011-2013,9,2,0,10,9,5,8,125,0,0,0,0,1
(Kolkata Knight Riders),,,,,,,,,,,,,,
S Nadeem,2012-2018,3,2,1,10,6*,10,16,62.5,0,0,0,0,0
(Delhi Daredevils),,,,,,,,,,,,,,
AS Yadav,2008-2008,1,1,0,10,10,10,10,100,0,0,0,0,1
(Deccan Chargers),,,,,,,,,,,,,,
Mohammed Shami,2018-2025,5,2,1,9,7,9,10,90,0,0,0,1,0
"(Delhi Daredevils, Gujarat Titans, Kings XI Punjab, Sunrisers Hyderabad)",,,,,,,,,,,,,,
I Sharma,2008-2025,14,5,5,9,6*,-,18,50,0,0,0,0,0
"(Deccan Chargers, Delhi Capitals, Gujarat Titans, Kings XI Punjab, Kolkata Knight Riders, Sunrisers Hyderabad)",,,,,,,,,,,,,,
D Wiese,2023-2023,2,2,1,9,8*,9,8,112.5,0,0,0,0,1
(Kolkata Knight Riders),,,,,,,,,,,,,,
MC Juneja,2013-2013,1,1,0,8,8,8,9,88.88,0,0,0,1,0
(Delhi Daredevils),,,,,,,,,,,,,,
Rasikh Salam,2024-2025,2,1,0,8,8,8,10,80,0,0,0,1,0
"(Delhi Capitals, Royal Challengers Bengaluru)",,,,,,,,,,,,,,
AC Voges,2010-2010,1,1,0,8,8,8,7,114.28,0,0,0,1,0
(Rajasthan Royals),,,,,,,,,,,,,,
S Chanderpaul,2008-2008,1,1,0,7,7,7,11,63.63,0,0,0,1,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
SMSM Senanayake,2013-2013,5,2,2,7,7*,-,14,50,0,0,0,0,0
(Kolkata Knight Riders),,,,,,,,,,,,,,
PC Valthaty,2011-2011,1,1,0,7,7,7,8,87.5,0,0,0,1,0
(Kings XI Punjab),,,,,,,,,,,,,,
GH Vihari,2013-2015,2,2,0,7,6,3.5,14,50,0,0,0,0,0
(Sunrisers Hyderabad),,,,,,,,,,,,,,
BA Bhatt,2011-2013,3,1,1,6,6*,-,2,300,0,0,0,0,1
(Kings XI Punjab),,,,,,,,,,,,,,
C Green,2024-2024,1,1,0,6,6,6,4,150,0,0,0,0,1
(Royal Challengers Bengaluru),,,,,,,,,,,,,,
SD Hope,2024-2024,1,1,0,6,6,6,3,200,0,0,0,0,1
(Delhi Capitals),,,,,,,,,,,,,,
AS Roy,2023-2024,2,1,1,6,6*,-,6,100,0,0,0,0,0
(Kolkata Knight Riders),,,,,,,,,,,,,,
SB Styris,2008-2008,1,1,0,6,6,6,7,85.71,0,0,0,1,0
(Deccan Chargers),,,,,,,,,,,,,,
LRPL Taylor,2011-2011,1,1,0,6,6,6,9,66.66,0,0,0,0,0
(Rajasthan Royals),,,,,,,,,,,,,,
AU Verma,2025-2025,1,1,0,6,6,6,6,100,0,0,0,1,0
(Sunrisers Hyderabad),,,,,,,,,,,,,,
SK Warne,2008-2011,3,2,2,6,3*,-,10,60,0,0,0,0,0
(Rajasthan Royals),,,,,,,,,,,,,,
AN Ahmed,2011-2015,3,1,1,5,5*,-,2,250,0,0,0,1,0
"(Mumbai Indians, Royal Challengers Bangalore)",,,,,,,,,,,,,,
S Aravind,2011-2017,3,1,1,5,5*,-,4,125,0,0,0,1,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
Arshad Khan,2024-2024,1,1,0,5,5,5,4,125,0,0,0,1,0
(Lucknow Super Giants),,,,,,,,,,,,,,
SA Asnodkar,2008-2008,1,1,0,5,5,5,3,166.66,0,0,0,1,0
(Rajasthan Royals),,,,,,,,,,,,,,
TA Boult,2017-2024,7,4,2,5,5*,2.5,11,45.45,0,0,2,0,0
"(Delhi Daredevils, Kolkata Knight Riders, Rajasthan Royals)",,,,,,,,,,,,,,
JP Faulkner,2013-2017,3,2,1,5,4*,5,6,83.33,0,0,0,0,0
"(Gujarat Lions, Rajasthan Royals)",,,,,,,,,,,,,,
GB Hogg,2012-2016,10,1,0,5,5,5,5,100,0,0,0,0,0
"(Kolkata Knight Riders, Rajasthan Royals)",,,,,,,,,,,,,,
BB Sran,2016-2019,3,2,2,5,3*,-,5,100,0,0,0,0,0
"(Kings XI Punjab, Mumbai Indians, Sunrisers Hyderabad)",,,,,,,,,,,,,,
VR Aaron,2015-2019,3,1,0,4,4,4,5,80,0,0,0,0,0
"(Kings XI Punjab, Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,
A Ashish Reddy,2013-2013,1,1,0,4,4,4,5,80,0,0,0,0,0
(Sunrisers Hyderabad),,,,,,,,,,,,,,
KK Cooper,2013-2013,1,1,0,4,4,4,2,200,0,0,0,1,0
(Rajasthan Royals),,,,,,,,,,,,,,
SM Curran,2023-2024,2,1,0,4,4,4,9,44.44,0,0,0,0,0
(Punjab Kings),,,,,,,,,,,,,,
TM Head,2025-2025,1,1,0,4,4,4,2,200,0,0,0,1,0
(Sunrisers Hyderabad),,,,,,,,,,,,,,
SO Hetmyer,2022-2024,3,2,0,4,4,2,8,50,0,0,1,0,0
(Rajasthan Royals),,,,,,,,,,,,,,
M Jansen,2023-2025,3,2,1,4,3,4,8,50,0,0,0,0,0
"(Punjab Kings, Sunrisers Hyderabad)",,,,,,,,,,,,,,
Z Khan,2008-2017,6,1,0,4,4,4,9,44.44,0,0,0,1,0
"(Delhi Daredevils, Royal Challengers Bangalore)",,,,,,,,,,,,,,
T Stubbs,2024-2024,1,1,0,4,4,4,7,57.14,0,0,0,0,0
(Delhi Capitals),,,,,,,,,,,,,,
SK Trivedi,2008-2013,6,2,0,4,4,2,4,100,0,0,1,1,0
(Rajasthan Royals),,,,,,,,,,,,,,
S Anirudha,2012-2014,2,1,0,3,3,3,5,60,0,0,0,0,0
"(Chennai Super Kings, Sunrisers Hyderabad)",,,,,,,,,,,,,,
Anureet Singh,2015-2018,2,1,1,3,3*,-,4,75,0,0,0,0,0
"(Kings XI Punjab, Rajasthan Royals)",,,,,,,,,,,,,,
IR Jaggi,2011-2011,1,1,0,3,3,3,9,33.33,0,0,0,0,0
(Deccan Chargers),,,,,,,,,,,,,,
VY Mahesh,2008-2008,1,1,0,3,3,3,6,50,0,0,0,0,0
(Delhi Daredevils),,,,,,,,,,,,,,
RR Powar,2008-2011,3,1,1,3,3*,-,6,50,0,0,0,0,0
"(Kings XI Punjab, Kochi Tuskers Kerala)",,,,,,,,,,,,,,
KS Sharma,2023-2023,1,1,0,3,3,3,5,60,0,0,0,0,0
(Lucknow Super Giants),,,,,,,,,,,,,,
N Wadhera,2024-2025,2,1,0,3,3,3,3,100,0,0,0,0,0
"(Mumbai Indians, Punjab Kings)",,,,,,,,,,,,,,
Azhar Mahmood,2013-2013,1,1,0,2,2,2,7,28.57,0,0,0,0,0
(Kings XI Punjab),,,,,,,,,,,,,,
PD Collingwood,2010-2010,1,1,0,2,2,2,3,66.66,0,0,0,0,0
(Delhi Daredevils),,,,,,,,,,,,,,
RS Gavaskar,2010-2010,2,1,0,2,2,2,8,25,0,0,0,0,0
(Kolkata Knight Riders),,,,,,,,,,,,,,
DC Jurel,2023-2024,2,1,0,2,2,2,4,50,0,0,0,0,0
(Rajasthan Royals),,,,,,,,,,,,,,
A Kamboj,2024-2024,1,1,1,2,2*,-,2,100,0,0,0,0,0
(Mumbai Indians),,,,,,,,,,,,,,
TS Mills,2017-2017,1,1,0,2,2,2,5,40,0,0,0,0,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
RG More,2015-2015,1,1,1,2,2*,-,2,100,0,0,0,0,0
(Chennai Super Kings),,,,,,,,,,,,,,
Naveen-ul-Haq,2023-2023,1,1,1,2,2*,-,3,66.66,0,0,0,0,0
(Lucknow Super Giants),,,,,,,,,,,,,,
Ravi Bishnoi,2022-2025,4,1,0,2,2,2,2,100,0,0,0,0,0
(Lucknow Super Giants),,,,,,,,,,,,,,
JPR Scantlebury-Searles,2018-2018,2,1,0,2,2,2,5,40,0,0,0,0,0
(Kolkata Knight Riders),,,,,,,,,,,,,,
SA Abbott,2015-2015,1,1,0,1,1,1,4,25,0,0,0,0,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
Anuj Rawat,2023-2023,1,1,0,1,1,1,5,20,0,0,0,0,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
VG Arora,2023-2025,11,1,1,1,1*,-,1,100,0,0,0,0,0
(Kolkata Knight Riders),,,,,,,,,,,,,,
SE Bond,2010-2010,5,1,0,1,1,1,2,50,0,0,0,0,0
(Kolkata Knight Riders),,,,,,,,,,,,,,
RD Chahar,2019-2024,3,1,1,1,1*,-,1,100,0,0,0,0,0
"(Mumbai Indians, Punjab Kings)",,,,,,,,,,,,,,
MJ Clarke,2012-2012,1,1,0,1,1,1,2,50,0,0,0,0,0
(Pune Warriors),,,,,,,,,,,,,,
LH Ferguson,2019-2024,5,1,0,1,1,1,1,100,0,0,0,0,0
"(Kolkata Knight Riders, Royal Challengers Bengaluru)",,,,,,,,,,,,,,
ML Hayden,2010-2010,1,1,0,1,1,1,8,12.5,0,0,0,0,0
(Chennai Super Kings),,,,,,,,,,,,,,
SH Johnson,2025-2025,2,1,1,1,1*,-,1,100,0,0,0,0,0
(Kolkata Knight Riders),,,,,,,,,,,,,,
Karanveer Singh,2014-2014,1,1,1,1,1*,-,1,100,0,0,0,0,0
(Kings XI Punjab),,,,,,,,,,,,,,
K Kushagra,2024-2024,1,1,0,1,1,1,3,33.33,0,0,0,0,0
(Delhi Capitals),,,,,,,,,,,,,,
M Manhas,2012-2014,2,1,0,1,1,1,3,33.33,0,0,0,0,0
"(Chennai Super Kings, Pune Warriors)",,,,,,,,,,,,,,
A Nehra,2008-2017,5,2,1,1,1*,1,5,20,0,0,1,0,0
"(Chennai Super Kings, Delhi Daredevils, Mumbai Indians, Sunrisers Hyderabad)",,,,,,,,,,,,,,
PP Ojha,2008-2015,8,2,1,1,1*,1,1,100,0,0,1,0,0
"(Deccan Chargers, Mumbai Indians)",,,,,,,,,,,,,,
WD Parnell,2012-2012,1,1,0,1,1,1,2,50,0,0,0,0,0
(Pune Warriors),,,,,,,,,,,,,,
M Prasidh Krishna,2018-2025,12,2,2,1,1*,-,5,20,0,0,0,0,0
"(Gujarat Titans, Kolkata Knight Riders, Rajasthan Royals)",,,,,,,,,,,,,,
Sandeep Sharma,2015-2023,5,2,2,1,1*,-,1,100,0,0,0,0,0
"(Kings XI Punjab, Rajasthan Royals, Sunrisers Hyderabad)",,,,,,,,,,,,,,
RP Singh,2008-2011,2,1,1,1,1*,-,2,50,0,0,0,0,0
"(Deccan Chargers, Kochi Tuskers Kerala)",,,,,,,,,,,,,,
IS Sodhi,2018-2018,2,1,0,1,1,1,6,16.66,0,0,0,0,0
(Rajasthan Royals),,,,,,,,,,,,,,
TM Srivastava,2008-2008,1,1,1,1,1*,-,1,100,0,0,0,0,0
(Kings XI Punjab),,,,,,,,,,,,,,
R Tewatia,2018-2025,5,2,0,1,1,0.5,4,25,0,0,1,0,0
"(Delhi Capitals, Delhi Daredevils, Gujarat Titans)",,,,,,,,,,,,,,
RE van der Merwe,2010-2012,2,1,0,1,1,1,2,50,0,0,0,0,0
"(Delhi Daredevils, Royal Challengers Bangalore)",,,,,,,,,,,,,,
Washington Sundar,2017-2025,4,2,2,1,1*,-,3,33.33,0,0,0,0,0
"(Gujarat Titans, Rising Pune Supergiant, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,
LB Williams,2024-2024,1,1,1,1,1*,-,2,50,0,0,0,0,0
(Delhi Capitals),,,,,,,,,,,,,,
Avesh Khan,2022-2025,3,1,1,0,0*,-,0,-,0,0,0,0,0
"(Lucknow Super Giants, Rajasthan Royals)",,,,,,,,,,,,,,
S Badree,2017-2017,1,1,0,0,0,0,3,0,0,0,1,0,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
YS Chahal,2013-2025,11,1,0,0,0,0,2,0,0,0,1,0,0
"(Mumbai Indians, Punjab Kings, Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,
UBT Chand,2013-2013,1,1,0,0,0,0,1,0,0,0,1,0,0
(Delhi Daredevils),,,,,,,,,,,,,,
TH David,2024-2025,2,1,0,0,0,0,3,0,0,0,1,0,0
"(Mumbai Indians, Royal Challengers Bengaluru)",,,,,,,,,,,,,,
JL Denly,2019-2019,1,1,0,0,0,0,1,0,0,0,1,0,0
(Kolkata Knight Riders),,,,,,,,,,,,,,
Kamran Khan,2010-2010,1,1,1,0,0*,-,0,-,0,0,0,0,0
(Rajasthan Royals),,,,,,,,,,,,,,
VVS Laxman,2008-2008,1,1,0,0,0,0,6,0,0,0,1,0,0
(Deccan Chargers),,,,,,,,,,,,,,
GD McGrath,2008-2008,1,1,1,0,0*,-,0,-,0,0,0,0,0
(Delhi Daredevils),,,,,,,,,,,,,,
R McLaren,2010-2010,1,1,1,0,0*,-,2,0,0,0,0,0,0
(Mumbai Indians),,,,,,,,,,,,,,
SL Malinga,2011-2019,8,1,0,0,0,0,2,0,0,0,1,0,0
(Mumbai Indians),,,,,,,,,,,,,,
AD Mascarenhas,2012-2012,1,1,0,0,0,0,1,0,0,0,1,0,0
(Kings XI Punjab),,,,,,,,,,,,,,
Mohammed Siraj,2019-2025,5,1,1,0,0*,-,0,-,0,0,0,0,0
"(Gujarat Titans, Royal Challengers Bangalore, Royal Challengers Bengaluru)",,,,,,,,,,,,,,
M Morkel,2012-2016,10,1,1,0,0*,-,0,-,0,0,0,0,0
"(Delhi Daredevils, Kolkata Knight Riders)",,,,,,,,,,,,,,
AM Nayar,2008-2011,2,1,0,0,0,0,2,0,0,0,1,0,0
"(Kings XI Punjab, Mumbai Indians)",,,,,,,,,,,,,,
Parvez Rasool,2014-2014,1,1,1,0,0*,-,0,-,0,0,0,0,0
(Sunrisers Hyderabad),,,,,,,,,,,,,,
PBB Rajapaksa,2023-2023,1,1,0,0,0,0,3,0,0,0,1,0,0
(Punjab Kings),,,,,,,,,,,,,,
PJ Sangwan,2008-2010,2,1,0,0,0,0,1,0,0,0,1,0,0
(Delhi Daredevils),,,,,,,,,,,,,,
Simarjeet Singh,2025-2025,1,1,0,0,0,0,1,0,0,0,1,0,0
(Sunrisers Hyderabad),,,,,,,,,,,,,,
A Singh,2011-2012,2,1,0,0,0,0,2,0,0,0,1,0,0
(Rajasthan Royals),,,,,,,,,,,,,,
Swapnil Singh,2016-2016,1,1,0,0,0,0,1,0,0,0,1,0,0
(Kings XI Punjab),,,,,,,,,,,,,,
SW Tait,2011-2011,1,1,0,0,0,0,1,0,0,0,1,0,0
(Rajasthan Royals),,,,,,,,,,,,,,
WPUJC Vaas,2008-2008,1,1,0,0,0,0,1,0,0,0,1,0,0
(Deccan Chargers),,,,,,,,,,,,,,
CV Varun,2019-2025,20,1,1,0,0*,-,3,0,0,0,0,0,0
"(Kings XI Punjab, Kolkata Knight Riders)",,,,,,,,,,,,,,
S Ladda,2013-2013,1,-,-,-,-,-,-,-,-,-,-,-,-
(Kolkata Knight Riders),,,,,,,,,,,,,,
KK Ahmed,2018-2024,2,-,-,-,-,-,-,-,-,-,-,-,-
"(Delhi Capitals, Sunrisers Hyderabad)",,,,,,,,,,,,,,
Akash Singh,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-
(Chennai Super Kings),,,,,,,,,,,,,,
KP Appanna,2012-2012,1,-,-,-,-,-,-,-,-,-,-,-,-
(Royal Challengers Bangalore),,,,,,,,,,,,,,
Arshdeep Singh,2023-2025,3,-,-,-,-,-,-,-,-,-,-,-,-
(Punjab Kings),,,,,,,,,,,,,,
M Ashwin,2016-2016,1,-,-,-,-,-,-,-,-,-,-,-,-
(Rising Pune Supergiants),,,,,,,,,,,,,,
KM Asif,2018-2023,2,-,-,-,-,-,-,-,-,-,-,-,-
"(Chennai Super Kings, Rajasthan Royals)",,,,,,,,,,,,,,
P Awana,2014-2014,1,-,-,-,-,-,-,-,-,-,-,-,-
(Kings XI Punjab),,,,,,,,,,,,,,
Azmatullah Omarzai,2025-2025,1,-,-,-,-,-,-,-,-,-,-,-,-
(Punjab Kings),,,,,,,,,,,,,,
Basil Thampi,2017-2017,1,-,-,-,-,-,-,-,-,-,-,-,-
(Gujarat Lions),,,,,,,,,,,,,,
DE Bollinger,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-
(Chennai Super Kings),,,,,,,,,,,,,,
RS Bopara,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,-
(Kings XI Punjab),,,,,,,,,,,,,,
JJ Bumrah,2015-2024,5,-,-,-,-,-,-,-,-,-,-,-,-
(Mumbai Indians),,,,,,,,,,,,,,
KC Cariappa,2015-2015,1,-,-,-,-,-,-,-,-,-,-,-,-
(Kolkata Knight Riders),,,,,,,,,,,,,,
DL Chahar,2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-
(Chennai Super Kings),,,,,,,,,,,,,,
AA Chavan,2012-2013,2,-,-,-,-,-,-,-,-,-,-,-,-
(Rajasthan Royals),,,,,,,,,,,,,,
M de Lange,2012-2012,3,-,-,-,-,-,-,-,-,-,-,-,-
